Time,Hip/Shoulder Separation,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Shoulder Abduction,Shoulder Horizontal Abduction,Shoulder External Rotaion,Elbow Flexion,Back Force Y,Back Force Z,Front Force Y,Front Force Z,Back Torque,Front Torque,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
40,-0.6913946831025224,32.615330288279985,470.05974918382464,16.65256774393174,-16.85340032187809,26.641869777858396,9.000911246411645,-27.547581163586486,68.30789776940945,0,0,0,0,0,0,98.49594462295927,31.28141933195986,632.3776041271474,-55.52535665889083
41,-0.4642083585947622,29.991344702301745,474.9372870023642,16.512635772746734,-17.02300507282377,26.678841370741466,9.373651701450932,-27.553095155020056,64.76897406548419,0,0,0,0,0,0,103.51737439096028,29.228475761384693,640.5730285844586,-59.41654497825073
42,-0.18795666789240673,27.33891329378429,479.5222329516629,16.343183373792566,-17.206021091883777,26.7630657270371,9.714608700756544,-27.523444684255722,61.19038734569904,0,0,0,0,0,0,104.37349221329994,26.60832596354489,646.5122642980612,-57.50828018860668
43,0.1158130461811456,24.663873504836555,482.1706830481436,16.15262929891654,-17.404718080878187,26.907205674435023,10.026553310202472,-27.49512555935242,57.585152499360156,0,0,0,0,0,0,100.88054512669018,23.99827553305961,649.74015057086,-49.3906865663695
44,0.4213225801006317,21.981856437848386,481.1038886016644,15.95182861597897,-17.622711783318753,27.123696063343917,10.312024029116317,-27.50560454775662,53.97035907174445,0,0,0,0,0,0,93.532336126684,21.79847481607446,649.4219087878514,-35.04144290367123
45,0.7034935232611399,19.318485970447117,474.63940426970595,15.754180762093698,-17.864134968328266,27.424045962461456,10.572033886599538,-27.59015297640175,50.36837107706723,0,0,0,0,0,0,83.4362803316716,20.201807860187788,644.7557356326821,-14.79686406019062
46,0.9425745407803228,16.708111499991414,461.46034475332306,15.57479420352357,-18.13241838011294,27.81715832047039,10.805773394925211,-27.779512223763728,46.80525267609379,0,0,0,0,0,0,72.13054433895843,19.24848907657965,635.4425418605135,10.602019664900906
47,1.1273963741896222,14.191012637757481,440.8535560538679,15.428618537655103,-18.42904873356113,28.307039956800942,11.011511617261549,-28.09813288099012,43.306727110740646,0,0,0,0,0,0,61.31321180199515,18.93136454009361,621.9895714176876,39.91781128848841
48,1.2565623078473314,11.809483527685012,412.83909822156994,15.327827689959031,-18.75264730638189,28.890711635391682,11.188597405498111,-28.5628499675591,39.893210083856445,0,0,0,0,0,0,52.53781874924547,19.292783253026304,605.6842064518657,71.36370328622527
49,1.3374940809754645,9.603596734886413,378.1468473123436,15.279061193971787,-19.09857262344153,29.5572400072852,11.340120781475543,-29.18210890769455,36.57605159963537,0,0,0,0,0,0,46.941455402702196,20.46121412874556,588.2202082173146,102.66817295374774
50,1.3838410616657195,7.607544933784204,338.05277188154713,15.281303821890205,-19.459097094899747,30.288522016990555,11.475457408831613,-29.9558863260714,33.356730206111145,0,0,0,0,0,0,45.06477610004328,22.611374217401114,571.1166275168438,131.2772726205232
51,1.412100662633483,5.847221305635494,294.13641985794203,15.325135786668335,-19.824109407470125,31.061890940436157,11.611741571113077,-30.876182788273272,30.229575276918418,0,0,0,0,0,0,46.80125233884333,25.873261366063407,555.1536559739582,154.64437012083727
52,1.4383195326962082,4.339254577858918,248.0403137051918,15.393803909294876,-20.18224878781508,31.854036916168063,11.773472315387748,-31.927645130043164,27.18726268209307,0,0,0,0,0,0,51.48142523026466,30.239584736971675,540.0274746213013,170.5215881162845
53,1.4755108348272359,3.0912643376944753,201.2963630361183,15.466103659642359,-20.5223330237145,32.64535474068037,11.98995609415513,-33.08780132657176,24.227405076407578,0,0,0,0,0,0,58.06148538584465,35.51713959901111,524.3342153886472,177.1856802861134
54,1.5320677821303952,2.102829302415601,155.2440231805525,15.52052394749701,-20.834855320985863,33.42371588790605,12.290923740950724,-34.32669241068754,21.358251832527696,0,0,0,0,0,0,65.35657956528026,41.34329013634211,505.8869879101239,173.58694245608157
55,1.6111379345886216,1.366658214669002,111.0194691066226,15.539626760411876,-21.11321500314647,34.18677810456701,12.701223087293705,-35.606292313047035,18.601773187520887,0,0,0,0,0,0,72.25547770835341,47.26104282464863,482.2781360679499,159.45883876890113
56,1.7107728941259803,0.8696845159232749,69.56649922323598,15.51339566063956,-21.354310583244366,34.94225962111156,13.235881922842468,-36.88075125984042,15.993117905094273,0,0,0,0,0,0,77.87828550299191,52.82765382909421,451.53121535850545,135.4277742996846
57,1.8246934249657847,0.5941204446134573,31.622472834245666,15.440478123180561,-21.55826584793642,35.706090651805994,13.89695342730823,-38.098753537494666,13.576442777303022,0,0,0,0,0,0,81.67252761274645,57.724434192748426,412.659962811266,103.11103232099985
58,1.943589725882378,0.518709566258471,-2.3366392642414406,15.32690741223378,-21.727376876320996,36.49891732940581,14.673243425696949,-39.20877117868938,11.398127869772637,0,0,0,0,0,0,83.4593842362711,61.83594511310986,365.98154662581703,65.12317903077574
59,2.0568733322553676,0.6203899684656566,-32.16962177819266,15.182794412621128,-21.864703362165464,37.34187471827764,15.543224791198854,-40.1667432047088,9.499071563206474,0,0,0,0,0,0,83.43520440318864,65.27255402458248,313.1123633388187,24.888593530980383
60,2.1546830355087474,0.8763578905304924,-58.11750497250003,15.018226161606872,-21.97287190442668,38.25267032064858,16.480333114530087,-40.944278811600476,7.907886910975812,0,0,0,0,0,0,82.11954194952065,68.32167986373719,256.67389262351236,-13.776121093785605
61,2.2298073991461687,1.2662529577880952,-80.78650856240674,14.83986615950148,-22.053515996329615,39.242786205344835,17.458776750032484,-41.53471597047812,6.636410413971974,0,0,0,0,0,0,80.23931235737841,71.33071456094288,199.8125347063701,-47.213503197253225
62,2.2791339160541764,1.7740265469812337,-101.05460124282361,14.649444116191214,-22.107435206834268,40.31617014517668,18.45749231115907,-41.95485364652022,5.678214402137059,0,0,0,0,0,0,78.55657754215622,74.54647349454235,145.66242751325757,-72.40855774559687
63,2.3043319464084,2.3890842093120903,-119.92220016561146,14.444607550624546,-22.135212189651792,41.46937950368974,19.46038317354895,-42.241784619731845,5.0101106688196,0,0,0,0,0,0,77.6763932200423,77.95664780764076,96.85376261772228,-87.2222898206906
64,2.3116949939789606,3.106492686783252,-138.34899651787032,14.221750758367175,-22.137853953597315,42.692915932652724,20.452521028805844,-42.446108821325474,4.596184537698825,0,0,0,0,0,0,77.89268211438744,81.19071713314366,55.12195914703686,-90.35140479137355
65,2.3112998290861886,3.9263095693429624,-157.1192898920512,13.979714134244375,-22.117082146135797,43.97342281837965,21.41396199818476,-42.62382361202791,4.393704874988851,0,0,0,0,0,0,79.12800637984512,83.53348323416343,21.04547841293029,-81.1839981277757
66,2.3157590056428274,4.8522972608333115,-176.75915323689773,13.722907079995219,-22.075128021384398,45.29638342069463,22.314231820683116,-42.82883876557137,4.360117118188016,0,0,0,0,0,0,80.99365541899957,84.07853753993398,-6.055135985894935,-59.805102183363815
67,2.3387831921152302,5.89033802595164,-197.50305026295578,13.462612307078114,-22.014168634613277,46.64887537795086,23.11058040959114,-43.10676710310698,4.460094513778292,0,0,0,0,0,0,82.95099974561013,82.00289284347558,-28.01745968568366,-27.300339359977514
68,2.393594301865208,7.046783938784081,-219.29068767510472,13.215935810300737,-21.935737710952065,48.021863231453736,23.75173376216622,-43.489470195300335,4.671421319113365,0,0,0,0,0,0,84.51617290392801,76.89021478520294,-47.528709005715456,13.73405852741682
69,2.4911304877547042,8.326842529644866,-241.7749107297243,13.002779809086666,-21.840463746613548,49.41156569131255,24.186768092244055,-43.98968830161005,4.988606724000137,0,0,0,0,0,0,85.44007568302858,68.99266288733068,-67.66933435054999,58.77884925739973
70,2.6381298660171244,9.73301626167914,-264.3348941612398,12.841925901086842,-21.728322727219357,50.819644961165764,24.37684408706666,-44.59594323097462,5.423687091707111,0,0,0,0,0,0,85.81816609776342,59.32443451374562,-91.42486670983551,101.41422582870398
71,2.8355292745569205,11.26363177620405,-286.1047283462366,12.747525414244901,-21.599328373073284,52.25222408706235,24.306539721381867,-45.268934996053396,6.004409188888757,0,0,0,0,0,0,86.11805089039625,49.52906496560459,-121.27926064381711,133.94615890595725
72,3.077898616715149,12.911590327769122,-306.0348062877194,12.72695810361915,-21.45435455988163,53.717941936032254,23.99160422106427,-45.941017647481466,6.770509752894952,0,0,0,0,0,0,87.13140710307438,41.537718674769415,-158.94744598693651,148.55494380016603
73,3.3545634568328193,14.663571336484603,-322.9973829562813,12.780347725262684,-21.29572070905513,55.225414604829155,23.48091646168058,-46.51988026727672,7.768924442590041,0,0,0,0,0,0,89.85630260081327,37.106134407901166,-205.238420866238,138.70422318900592
74,3.6525776669898806,16.49994987466804,-335.9311342669823,12.90135545647308,-21.127304121304885,56.78062195686112,22.85184246880066,-46.89671613727731,9.048544427361756,0,0,0,0,0,0,95.31444999682482,37.359196123080636,-259.99916548213844,100.50239622483156
