,Time,Hip/Shoulder Separation,Elbow Flexion,Shoulder External Rotaion,Shoulder Horizontal Abduction,Shoulder Abduction,Lead Leg Knee Flexion,Lead Leg Knee Extension Angular Velocity,Trunk Forward Tilt,Trunk Lateral Tilt,Pelvis Angular Velocity,Torso Angular Velocity,Elbow Angular Velocity,Shoulder Angular Velocity
153,153,8.710079629629627,47.78087037037036,-13.89372222222222,2.5892129629629617,47.645512962962954,19.61193703703703,-42.31540555555554,26.81193518518518,-16.493244444444443,63.092407407407386,31.097475925925917,201.40471111111106,-104.71289259259257
154,154,8.75528833338434,47.416368172157746,-14.01991824575936,3.0499436592130134,47.86628129019135,19.693765228028024,-45.70093467334942,26.815191124573428,-16.494499164164544,62.550855903853716,30.20189822922113,192.21670526763768,-104.25741603704084
155,155,8.8015269233728,47.0689396558687,-14.146715407926884,3.5121950020179793,48.09103277318309,19.781497352387024,-48.6972740605114,26.817273383159513,-16.494598133931884,62.02355914530241,29.27838516202706,182.96293727664477,-103.68072097640946
156,156,8.848888888888888,46.73870185185186,-14.274238888888888,3.9757870370370365,48.32001481481481,19.87440555555556,-51.3063037037037,26.818153703703704,-16.493524074074074,61.51437222222222,28.327920370370368,173.63913888888888,-103.0108
157,157,8.897485954739405,46.42579111372934,-14.402553994021964,4.440547893034364,48.55348021659557,19.97177111472291,-53.538719063219794,26.81778847649325,-16.491260412447,61.027172812360966,27.35132302740646,164.23214182352476,-102.27916731930974
158,158,8.947420151620603,46.1303762817367,-14.531677046336467,4.906318876480429,48.791641674629005,20.072905639503613,-55.41469329427723,26.81616122513768,-16.48777382495666,60.56573409421233,26.34919400631916,154.72018356354076,-101.52013944617177
159,159,8.998796296296296,45.85267037037037,-14.661568518518518,5.372957407407409,49.034714814814805,20.17717037037037,-56.96233333333333,26.813251851851852,-16.483035185185184,60.133599999999994,25.32201111111111,145.0753425925926,-100.76930185185184
160,160,9.05172580114294,45.59294075338663,-14.792130880424713,5.840345087438113,49.28291657067899,20.283984561906223,-58.216980428462755,26.809029096400717,-16.477019106664187,59.73400311254722,24.27016167161636,135.26487607789787,-100.06256299022346
161,161,9.106324746640743,45.35152979736155,-14.923209605667056,6.308409323577627,49.53641706394129,20.392834549909047,-59.22048871231879,26.80345948893269,-16.469681780344768,59.369723797813016,23.193951159637482,125.25310778439541,-99.4346272919435
162,162,9.16271111111111,45.12884999999999,-15.05460185185185,6.777101851851851,49.795385185185175,20.503298148148147,-60.01898888888888,26.796505555555548,-16.460983333333328,59.043038888888866,22.093692592592586,115.00393148148144,-98.91765925925925
163,163,9.221004205020332,44.92537984520597,-15.186061596670239,7.246395951126767,50.059988261250574,20.615048417259096,-60.661643560773534,26.78812833813734,-16.450888562333088,58.755679953972134,20.969747165345716,104.48234905579439,-98.54032291144516
164,164,9.281325203956133,44.74165617624963,-15.317306952892606,7.71629944510161,50.330345300110245,20.727841982405522,-61.19885464526427,26.778296722800697,-16.439346888621852,58.50874934951844,19.822565781417648,93.6569425647708,-98.32601287423331
165,165,9.343788888888888,44.57826481481481,-15.448016666666668,8.18683888888889,50.60657222222222,20.841529629629626,-61.680231481481485,26.766970370370373,-16.426314814814813,58.302764814814815,18.652757407407407,82.50131666666667,-98.2923537037037
166,166,9.408503988208915,44.43583764191118,-15.577837234275524,8.658050354536977,50.88878705665071,20.956056791380956,-62.15332441550816,26.75409809019696,-16.411756774229485,58.1376780400448,17.461131496447138,70.99516090898351,-98.45065694696375
167,167,9.47558236114569,44.31505090881636,-15.706408585309578,9.129966995636476,51.17707968904261,21.07145354670381,-62.66155938036594,26.73963008981068,-16.395625003296697,58.01289158104182,16.24876477335071,59.12624950785344,-98.8046653615891
168,168,9.545135185185185,44.216590740740735,-15.833353703703702,9.60262037037037,51.47152962962963,21.187825925925925,-63.243272222222224,26.723514814814816,-16.377872222222223,57.92741481481481,15.017005555555555,46.89039999999999,-99.3511425925926
169,169,9.617271177229624,44.1411389110981,-15.95828313997724,10.076033292226256,51.77221269921215,21.305349611319883,-63.93097445661511,26.705697805278607,-16.358456208292658,57.87994120747827,13.767499751992656,34.29172239425669,-100.0799864859652
170,170,9.692094655924402,44.089361691212346,-16.08082078602313,10.550196038390617,52.07920278818719,21.424257328512294,-64.7499399171701,26.686121585303336,-16.337340263156072,57.8689442391137,12.502269371967133,21.343477019802044,-100.974004794324
171,171,9.769692592592591,44.06188888888888,-16.20060555555555,11.025077777777776,52.39257037037036,21.544814814814814,-65.71859444444443,26.664720370370365,-16.314487037037033,57.89287037037035,11.223674074074072,8.066846296296292,-102.0103907407407
172,172,9.850138446366573,44.05930635900408,-16.31729421511779,11.50062019479244,52.71237763218218,21.667313350087785,-66.84855528848885,26.641420497832478,-16.289859154213396,57.950242554637256,9.934405154906925,-5.509536003929299,-103.16144713501241
173,173,9.933516141411852,44.08215145128415,-16.430569867573926,11.976705936893957,53.03866599852742,21.79206853120634,-68.14436173710752,26.616146932968267,-16.263427021080414,58.03980334954045,8.63750725723434,-19.349873562587526,-104.39545450243149
174,174,10.0199,44.13087962962963,-16.540144444444444,12.453179629629629,53.37148333333334,21.919392592592594,-69.60481666666666,26.58882037037037,-16.23516111111111,58.16067037037037,7.336346296296296,-33.41295925925925,-105.67849259259259
175,175,10.10935150262942,44.205855053230614,-16.645763100752763,12.929853550094284,53.710883136249265,22.049586123928318,-71.22361288812753,26.559357820068797,-16.20503175865096,58.31241765758046,6.034586545647861,-47.653033856676274,-106.97548746456538
176,176,10.201930020686559,44.30735444295228,-16.74721545329033,13.406502921746256,54.05689499092253,22.18293900823935,-72.99001377133406,26.527676971451356,-16.173016564205643,58.495184067347,4.736149650438234,-62.02081231441101,-108.25178155933301
177,177,10.297687037037038,44.43557222222222,-16.844325925925926,13.882864814814813,54.409540740740745,22.319714814814816,-74.89039259259259,26.49368148148148,-16.1391,58.70972037037036,3.445166666666666,-76.46506296296295,-109.47463148148147
178,178,10.396668530088652,44.590613014482585,-16.936952089796776,14.358640000354661,54.768835246501084,22.46014547132847,-76.90902782019364,26.457263811663022,-16.103270446323965,58.95741692858136,2.165952986220995,-90.93347194015351,-110.61418724544603
179,179,10.4989278793385,44.77246431657727,-17.024989276844614,14.83350019389104,55.13477141896959,22.604430464803045,-79.02913908626057,26.418328129627838,-16.065512353793128,59.240344649558985,0.9029725539765733,-105.37386598594092,-111.64516702644733
180,180,10.604507407407405,44.98102222222221,-17.10836296296296,15.307099999999998,55.507324074074056,22.75274259259259,-81.23398888888887,26.376770370370362,-16.02582222222222,59.56117407407406,-0.33923333333333194,-119.73518333333331,-112.54751481481479
181,181,10.71343823411239,45.21609511934714,-17.187024729790334,15.779081832100035,55.886452015726114,22.905226949293038,-83.5074961419085,26.332476764063955,-15.9842051757556,59.92313305997965,-1.5560817070037471,-133.9680888747446,-113.30696401283116
