Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity
89,-2.324489196,59.75874496,-20.21153351,67.39727218,2.548339384,-4.128991181,2.690464544,0.8348565398,-5.286937413,0.3827612961,473.9316406,425.4804688,899.4121094,-1.407216999999683,2.4988068999999835,23.4254700000065
90,-2.320577925,59.80121203,-20.17849551,67.42069764,2.546403946,-4.137813329,2.689057327,0.83740274,-5.2918508,0.3852601031,473.9316406,424.8515625,898.7832031,-1.4072170000001272,2.498806999999992,23.425459999998566
91,-2.316498078,59.84225399,-20.14737886,67.44184591,2.54424723,-4.146829075,2.687514684,0.8400107972,-5.296930281,0.3877912051,474.2597656,424.9824219,899.2421875,-1.5426430000000657,2.5311020000000073,21.148269999997638
92,-2.312418231,59.88329596,-20.11626222,67.46299417,2.542090513,-4.15584482,2.685972042,0.8426188544,-5.302009762,0.3903223071,474.2597656,423.9394531,898.1992188,-1.542641999999983,2.5311020000000073,21.148260000003916
93,-2.308338384,59.92433793,-20.08514557,67.48414244,2.539933796,-4.164860566,2.6844294,0.8452269116,-5.307089243,0.392853409,475.2109375,424.2421875,899.453125,-1.542641999999983,2.531101899999999,21.148269999997638
94,-2.304258537,59.9653799,-20.05402893,67.50529071,2.53777708,-4.173876312,2.682886757,0.8478349688,-5.312168723,0.395384511,475.5371094,424.2382813,899.7753906,-1.5426430000000657,2.5311020000000073,21.148269999997638
95,-2.30017869,60.00642187,-20.02291228,67.52643898,2.535620363,-4.182892057,2.681344115,0.850443026,-5.317248204,0.397915613,475.2070313,423.3242188,898.53125,-1.542641999999983,2.5311020000000073,21.148269999997638
96,-2.295909258,60.04557328,-19.99401416,67.54502993,2.533212662,-4.192067484,2.679636016,0.8530913852,-5.32248706,0.4004699069,475.5351563,422.890625,898.4257813,-1.7080990000000185,2.5542939000000042,18.59095000000366
97,-2.291639826,60.0847247,-19.96511604,67.56362089,2.530804961,-4.20124291,2.677927917,0.8557397444,-5.327725916,0.4030242009,475.8457031,422.890625,898.7363281,-1.7080990000000185,2.5542940000000125,18.59095999999738
98,-2.287370394,60.12387611,-19.93621792,67.58221184,2.52839726,-4.210418337,2.676219819,0.8583881035,-5.332964773,0.4055784948,476.5039063,422.890625,899.3945313,-1.7080979999999357,2.5542939000000042,18.59095000000366
99,-2.283100962,60.16302752,-19.90731979,67.6008028,2.525989558,-4.219593763,2.67451172,0.8610364627,-5.338203629,0.4081327887,476.4902344,421.9707031,898.4609375,-1.7080990000000185,2.5542939000000042,18.59095999999738
100,-2.27883153,60.20217893,-19.87842167,67.61939375,2.523581857,-4.228769189,2.672803621,0.8636848219,-5.343442485,0.4106870827,476.8085938,421.9707031,898.7792969,-1.7080990000000185,2.554293999999957,18.59095000000366
101,-2.274351163,60.23894107,-19.8520253,67.63525049,2.520901593,-4.238067605,2.67089921,0.8663507808,-5.348828003,0.4132549622,477.765625,421.3632813,899.1289063,-1.9044109999999392,2.5678795000000365,15.85674000000381
102,-2.269870795,60.2757032,-19.82562892,67.65110724,2.518221328,-4.247366021,2.668994799,0.8690167397,-5.354213521,0.4158228418,477.4570313,420.625,898.0820313,-1.9044109999999392,2.5678795999999893,15.856749999997533
