Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity,COP Velocity
53,0.1633431507,54.71261898,-26.50715668,63.03742069,0.4710453173,-6.165831749,-0.04913978058,-0.2877786281,-7.579430732,0.1071263524,502.4902344,389.453125,891.9433594,2.2758693799999965,-0.5948451999999993,-5.328150000003973,27.360999999928026
54,0.1603944873,54.69949267,-26.5252275,63.03209254,0.4685260609,-6.171481569,-0.04686391119,-0.2848529246,-7.583911787,0.1065315073,502.8105469,389.4511719,892.2617188,2.2758693899999973,-0.5948451000000049,-5.328149999996867,-28.145799999947485
55,0.1574458239,54.68636635,-26.54329831,63.02676438,0.4660068046,-6.177131389,-0.04458804181,-0.2819272212,-7.588392842,0.1059366621,502.8105469,389.453125,892.2636719,2.2758693800000036,-0.5948451999999993,-5.328159999997695,-2.1600000000034925
56,0.1544971605,54.67324004,-26.56136913,63.02143623,0.4634875482,-6.182781209,-0.04231217243,-0.2790015177,-7.592873897,0.105341817,503.1601563,389.453125,892.6132813,2.2758693799999965,-0.594845099999991,-5.328150000003973,-64.64010000001963
57,0.1513428908,54.66088478,-26.57896886,63.01625676,0.460971194,-6.188549536,-0.03989607951,-0.2760875989,-7.597521677,0.1046804581,503.1542969,388.7128906,891.8671875,2.4160929200000014,-0.6613589000000059,-5.179470000001629,-283.5937999999487
58,0.1481886212,54.64852952,-26.59656858,63.01107729,0.4584548397,-6.194317863,-0.03747998659,-0.2731736801,-7.602169457,0.1040190992,503.1542969,388.4101563,891.5644531,2.4160929200000014,-0.661358899999992,-5.179469999994524,166.72009999990678
59,0.1450343516,54.63617426,-26.61416831,63.00589782,0.4559384855,-6.200086191,-0.03506389368,-0.2702597613,-7.606817237,0.1033577403,503.8027344,388.1074219,891.9101563,2.4160929100000006,-0.6613589000000059,-5.179470000001629,436.58250000009957
60,0.141880082,54.623819,-26.63176803,63.00071835,0.4534221312,-6.205854518,-0.03264780076,-0.2673458425,-7.611465017,0.1026963814,503.7753906,388.0976563,891.8730469,2.4160929200000014,-0.6613589000000059,-5.179470000001629,-108.17289999999957
61,0.1387258123,54.61146374,-26.64936776,62.99553888,0.450905777,-6.211622845,-0.03023170784,-0.2644319237,-7.616112798,0.1020350226,504.0839844,387.8027344,891.8867188,2.416092919999998,-0.6613587999999976,-5.179470000001629,603.632399999924
62,0.135370607,54.5998953,-26.66647256,62.99052227,0.4483811076,-6.217490794,-0.02768502926,-0.2615310223,-7.620929027,0.1013021024,504.0683594,387.8027344,891.8710938,2.5466785799999996,-0.7329202000000007,-5.016609999998423,-80.19349999995029
