Time,Hip/Shoulder Separation,Pelvis Forward Tilt,Pelvis Lateral Tilt,Torso Forward Tilt,Torso Lateral Tilt,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Back Force Y,Back Force Z,Front Force Y,Front Force Z,Back Torque,Front Torque,Hand Angular Velocity,Arm Angular Velocity,Torso Angular Velocity,Pelvis Angular Velocity
681,-31.04987145,7.738299994,7.216171602,7.239024726,18.65172384,-77.37937041,-26.74700787,154.49581382,0.004251514451240231,-0.6200712849699852,12.434711949258126,132.03558591006907,1.3523705516568025,83.21142006323056,26.98750003,143.45,-133.3,-102.025
682,-31.00899893,7.741239857,7.229576665,7.281922969,18.61477414,-77.33617201,-26.88792809,154.33191226,-0.04236305782081776,-0.7539075773020727,12.480037240910633,131.57279986408426,1.3706098708030023,82.56670542482063,29.56250002,141.0,-132.875,-100.375
683,-30.9664177,7.743647907,7.243826672,7.322844824,18.57856273,-77.2889765,-27.03256267,154.18500541,-0.09325334015177257,-0.7541287943141918,12.573256008607995,131.11001393136254,1.3885930401279591,81.9297816979166,31.28750002,136.825,-132.825,-98.73749998
684,-30.92383647,7.746055957,7.25807668,7.363766678,18.54235132,-77.24178098,-27.17719725,154.03809856,-0.043227186770868724,-0.8888499546947558,12.527484834069542,130.96533797712084,1.4063004877615852,81.30096808382459,33.01250002,132.65,-132.775,-97.09999998
685,-30.88125524,7.748464007,7.272326688,7.404688532,18.50613992,-77.19458547,-27.32183183,153.89119171,-0.043372360437195605,-0.9187142513308414,12.528286748216106,130.6804104655114,1.4237164307461412,80.68056725306315,34.73750002,128.475,-132.725,-95.46249998
686,-30.83867401,7.750872057,7.286576696,7.445610387,18.46992851,-77.14738996,-27.46646641,153.74428486,-0.045923269113149846,-1.003440366972477,12.34322488390531,130.3634065013025,1.440828695419709,80.06886463747693,36.46250002,124.3,-132.675,-93.82499998
687,-30.79609278,7.753280107,7.300826704,7.486532241,18.4337171,-77.10019444,-27.611101,153.59737801,0.05597481710272964,-0.949905850039642,12.248236380110997,130.220721486012,1.457628509735023,79.46612775768959,38.1875,120.1249999,-132.625,-92.18749998
688,-30.75185092,7.755255697,7.315670741,7.525548624,18.3983373,-77.04896499,-27.7590203,153.46730122,0.2058078646505833,-0.825581889228678,12.06077914826141,129.9335818325971,1.4741102685426277,78.8726055870209,38.48125,114.2499999,-132.025,-90.68749998
689,-30.70760907,7.757231287,7.330514779,7.564565007,18.3629575,-76.99773553,-27.90693961,153.33722441999998,0.3064996267980518,-0.752801492241477,11.824830467776644,129.64754819345336,1.490271273856236,78.28852795300459,38.775,108.3749999,-131.425,-89.18749998
690,-30.66336722,7.759206876,7.345358817,7.603581391,18.32757771,-76.94650607,-28.05485891,153.20714763,0.5029299639823309,-0.4946412390984256,11.77719968286329,129.46482296975873,1.5061114531961368,77.71410497882862,39.06875,102.4999999,-130.825,-87.68749998
691,-30.61912536,7.761182466,7.360202854,7.642597774,18.29219791,-76.89527661,-28.20277822,153.07707083,0.6017655771888095,-0.23736585400385093,11.682339064446708,129.21263551931133,1.5216330602093895,77.149526568544,39.3625,96.62499993,-130.225,-86.18749998
692,-30.57488351,7.763158056,7.375046892,7.681614157,18.25681811,-76.84404715,-28.35069753,152.94699404,0.6003898839053119,-0.1681249292105561,11.586693815834181,128.89275580473438,1.5368403628499565,76.59496194102236,39.65625,90.74999991,-129.625,-84.68749999
693,-30.52908694,7.764868451,7.390208615,7.718834952,18.22236604,-76.78886004,-28.50115243,152.83340076,0.602394663042247,-0.10153860856269112,11.58538724657379,128.82130263903045,1.551739325289419,76.05055921804339,39.45,83.29999991,-128.0875,-83.78749999
694,-30.48329037,7.766578846,7.405370339,7.756055747,18.18791396,-76.73367292,-28.65160734,152.71980747,0.5035175717521801,0.050437478763166836,11.538395922528032,128.49677732472534,1.566337290122599,75.51644507158557,39.24375,75.84999991,-126.55,-82.88749999
695,-30.43749379,7.76828924,7.420532062,7.793276543,18.15346189,-76.67848581,-28.80206224,152.60621419,0.4573350638803941,0.015042756824102388,11.488293725223695,128.06230705629176,1.580642667130615,74.99272443456788,39.0375,68.39999991,-125.0125,-81.98749999
696,-30.39169722,7.769999635,7.435693786,7.830497338,18.11900981,-76.6232987,-28.95251715,152.49262091,0.2567154294937139,0.07941690735077585,11.441105368671423,127.99196013138518,1.594664633911834,74.47948027815498,38.83125,60.94999991,-123.475,-81.08749999
697,-30.34590065,7.77171003,7.450855509,7.867718133,18.08455774,-76.56811158,-29.10297206,152.37902763,0.05786553124929209,0.09335357911428246,11.485165579340807,127.78202514441045,1.6084128523450225,73.9767734574085,38.62499999,53.4999999,-121.9375,-80.18749999
698,-30.29870741,7.773382462,7.466037543,7.903287903,18.05111173,-76.50915236,-29.25489425,152.28142419,0.0078048127092535955,0.19489218767697358,11.439587960131384,127.42055657492355,1.6218972034489656,73.48464262552278,37.91874999,45.0046874,-121.625,-79.09999999
699,-30.25151417,7.775054894,7.481219577,7.938857673,18.01766572,-76.45019313,-29.40681644,152.18382076,-0.2415828032619776,0.20816520840412273,11.393609378185525,127.31569973949483,1.6351275420349287,73.00310421511098,37.21249999,36.5093749,-121.3125,-78.01249999
700,-30.20432094,7.776727326,7.49640161,7.974427443,17.98421971,-76.39123391,-29.55873863,152.08621733,-0.3939391073734284,0.2913428049609242,11.34653508891154,127.09979193566654,1.648113471752916,72.53215248320824,36.50624999,28.0140624,-121.0,-76.92499999
701,-30.1571277,7.778399759,7.511583644,8.009997214,17.9507737,-76.33227468,-29.71066083,151.98861389,-0.34546838611394265,0.2413477602219957,11.205554183939292,126.78079691924337,1.6608641407406388,72.07175961525151,35.79999999,19.5187499,-120.6875,-75.83749999
702,-30.10993446,7.780072191,7.526765677,8.045566984,17.91732769,-76.27331546,-29.86258302,151.89101046,-0.3484651852984483,0.3085977319062181,11.067079247932947,126.64010295616717,1.673388058106078,71.62187588265425,35.09374999,11.0234374,-120.375,-74.74999999
703,-30.06155069,7.781978384,7.541656984,8.079639754,17.88495175,-76.21087241,-30.01463987,151.8087898,-0.24792550979725902,0.2946610601427115,10.924677708687279,126.21403896250989,1.6856929318567122,71.1824298488189,34.59999999,2.593749902,-119.2375,-73.56249999
704,-30.01316692,7.783884576,7.556548291,8.113712524,17.85257581,-76.14842935,-30.16669672,151.72656913,-0.19690387982784005,0.328728480009061,10.832374911088458,125.67382704723072,1.6977855294193989,70.75332861934855,34.10624999,-5.835937599,-118.1,-72.37499999
705,-29.96478314,7.785790769,7.571439598,8.147785294,17.82019987,-76.0859863,-30.31875357,151.64434847,-0.04870922085173858,0.3178888464152225,10.829747958998754,125.46190112130478,1.7096715623155692,70.33445813357166,33.61249999,-14.2656251,-116.9625,-71.18749999
706,-29.91639937,7.787696962,7.586330905,8.181858065,17.78782393,-76.02354325,-30.47081042,151.56212779999998,0.05381795122890474,0.23692341997961264,10.782525039075772,124.88806422018348,1.721355596765295,69.92568349606287,33.11874999,-22.6953126,-115.825,-69.99999999
707,-29.8680156,7.789603154,7.601222212,8.215930835,17.75544799,-75.9611002,-30.62286727,151.47990714,0.052857039834635855,0.18847689432551817,10.779566262317362,124.23458919469927,1.7328409920271666,69.5268493484598,32.625,-31.12500009,-114.6875,-68.81249999
708,-29.81868579,7.792038191,7.615506882,8.248655026,17.72419155,-75.89555213,-30.77353765,151.41237746,0.2036855639370257,0.09202627704156754,10.77832882885944,123.94457367765317,1.7441298681359267,69.13778028339594,32.76875,-38.43750009,-114.2625,-68.19999999
709,-29.76935598,7.794473229,7.629791553,8.281379217,17.69293511,-75.83000407,-30.92420802,151.34484778,0.205420734851059,-0.07344404802355872,10.820318583078489,123.47802695662023,1.7552231042869406,68.75828130361782,32.9125,-45.75000009,-113.8375,-67.58749999
