Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity,COP Velocity
1543,6.411666911,102.1140573,11.41962313,72.07090172,21.85335194,-14.34290705,-15.1951931,8.606427718,6.001609558,-12.40824728,653.359375,284.5410156,937.9003906,-93.4590799999988,-42.614679999999794,-189.99413000000231,1451.1220999999068
1544,6.446755057,102.126479,11.42274899,71.8809076,21.88342103,-14.25528096,-15.28865217,8.604110422,6.014009878,-12.45086196,644.2324219,279.3398438,923.5722656,-93.45907000000153,-42.614679999999794,-189.99411999999438,-452.1009000000049
1545,6.481843203,102.1389008,11.42587485,71.69091348,21.91349012,-14.16765488,-15.38211124,8.601793125,6.026410199,-12.49347664,623.0625,267.0996094,890.1621094,-93.45906999999976,-42.61468000000157,-189.99411999999438,-2534.0722999999343
1546,6.516931349,102.1513225,11.42900071,71.50091935,21.94355921,-14.08002879,-15.47557032,8.599475829,6.03881052,-12.53609132,596.0859375,253.6738281,849.7597656,-93.4590799999988,-42.614679999999794,-189.99413000000231,-6370.530799999983
1547,6.552019495,102.1637442,11.43212658,71.31092523,21.97362829,-13.99240271,-15.56902939,8.597158533,6.05121084,-12.578706,585.3984375,249.2050781,834.6035156,-93.45907000000153,-42.614679999999794,-189.9941200000086,-3672.8476000000683
1548,6.592186659,102.1770321,11.43610614,71.10946654,22.00274796,-13.90362564,-15.65929335,8.596248581,6.061987872,-12.61231063,560.6523438,239.7636719,800.4160156,-90.2639599999997,-33.60462999999925,-201.4586899999955,-9679.594799999904
1549,6.632353823,102.19032,11.4400857,70.90800785,22.03186763,-13.81484857,-15.7495573,8.59533863,6.072764904,-12.64591527,531.15625,229.1425781,760.2988281,-90.26394999999887,-33.604640000000074,-201.4586899999955,-11106.798000000026
1550,6.672520987,102.2036078,11.44406526,70.70654917,22.0609873,-13.72607151,-15.83982125,8.594428679,6.083541936,-12.6795199,521.5332031,225.3964844,746.9296875,-90.26395000000065,-33.60463000000102,-201.45868000000178,-3160.2656000000025
1551,6.712688151,102.2168957,11.44804483,70.50509048,22.09010697,-13.63729444,-15.93008521,8.593518728,6.094318968,-12.71312454,502.8652344,218.0527344,720.9179688,-90.2639599999997,-33.604640000000074,-201.4586899999955,-4539.696499999991
1552,6.752855315,102.2301835,11.45202439,70.30363179,22.11922664,-13.54851737,-16.02034916,8.592608777,6.105096,-12.74672917,484.4824219,209.2324219,693.7148438,-90.26394999999887,-33.60462999999925,-201.4586900000097,-2771.237700000029
1553,6.798623662,102.2446263,11.4571809,70.09018203,22.14756906,-13.45891612,-16.10672099,8.593358923,6.114325486,-12.77027005,479.6347656,205.7988281,685.4335938,-86.37183000000093,-23.54088000000054,-213.44976000000315,681.7048999999997
1554,6.844392009,102.2590691,11.46233741,69.87673226,22.17591147,-13.36931487,-16.19309281,8.594109069,6.123554972,-12.79381092,471.2246094,197.4765625,668.7011719,-86.3718200000001,-23.540869999999714,-213.44976999999687,227.04989999999725
1555,6.890160356,102.2735119,11.46749392,69.66328249,22.20425389,-13.27971362,-16.27946463,8.594859215,6.132784458,-12.81735179,464.703125,186.8691406,651.5722656,-86.3718200000001,-23.540869999999714,-213.44976999999687,1382.2497999999541
1556,6.935928702,102.2879547,11.47265043,69.44983272,22.23259631,-13.19011237,-16.36583645,8.595609361,6.142013945,-12.84089266,462.6953125,183.4355469,646.1308594,-86.3718200000001,-23.540869999999714,-213.44976999999687,840.3915000000097
1557,6.981697049,102.3023976,11.47780695,69.23638296,22.26093872,-13.10051112,-16.45220827,8.596359507,6.151243431,-12.86443353,459.6113281,175.78125,635.3925781,-86.3718200000001,-23.540869999999714,-213.44976000000315,2440.569200000027
1558,7.033533046,102.3182938,11.48447726,69.01037893,22.28870138,-13.01044691,-16.53388556,8.599000348,6.159058369,-12.87682627,458.6464844,169.7636719,628.4101563,-81.67729000000179,-12.392740000001012,-226.00402999999858,5164.308099999971
1559,7.085369042,102.3341901,11.49114757,68.78437491,22.31646405,-12.9203827,-16.61556285,8.601641188,6.166873308,-12.88921901,458.8710938,167.5058594,626.3769531,-81.67728999999824,-12.392739999999236,-226.00402000000486,3076.565599999981
1560,7.137205038,102.3500864,11.49781788,68.55837088,22.34422671,-12.83031849,-16.69724014,8.604282029,6.174688247,-12.90161175,460.8984375,164.6113281,625.5097656,-81.67729000000179,-12.392740000001012,-226.00402999999858,7087.401
1561,7.189041035,102.3659827,11.5044882,68.33236686,22.37198937,-12.74025428,-16.77891742,8.606922869,6.182503185,-12.91400449,465.6015625,163.0410156,628.6425781,-81.67727999999741,-12.392739999999236,-226.00402000000486,9301.290600000015
1562,7.240877031,102.381879,11.51115851,68.10636283,22.39975203,-12.65019007,-16.86059471,8.609563709,6.190318124,-12.92639723,468.1796875,162.8359375,631.015625,-81.67729000000179,-12.392739999999236,-226.00402999999858,3409.8425000000816
1563,7.299156118,102.3995428,11.51969687,67.86720788,22.42715432,-12.56005526,-16.93666371,8.614286445,6.196906325,-12.92655055,474.7167969,160.8476563,635.5644531,-76.06900000000039,-0.1533200000007895,-239.15494999999964,7352.373800000009
1564,7.357435205,102.4172066,11.52823523,67.62805292,22.4545566,-12.46992044,-17.0127327,8.61900918,6.203494525,-12.92670387,484.9726563,157.5976563,642.5703125,-76.06898999999956,-0.1533200000007895,-239.15495999999337,8394.60669999994
1565,7.415714292,102.4348703,11.5367736,67.38889796,22.48195888,-12.37978562,-17.0888017,8.623731916,6.210082726,-12.92685719,489.265625,155.1855469,644.4511719,-76.06900000000039,-0.15331999999901313,-239.15496000000758,2841.6524000000436
1566,7.473993379,102.4525341,11.54531196,67.14974301,22.50936117,-12.2896508,-17.16487069,8.628454651,6.216670927,-12.9270105,501.1796875,149.5898438,650.7695313,-76.06898999999956,-0.1533099999999621,-239.15494999999964,6936.227700000018
1567,7.532272466,102.4701979,11.55385032,66.91058805,22.53676345,-12.19951599,-17.24093968,8.633177386,6.223259128,-12.92716382,515.2207031,143.9921875,659.2128906,-76.06898999999956,-0.1533200000007895,-239.15495999999337,5143.683699999997
1568,7.597243902,102.4899659,11.5646324,66.65766048,22.56404487,-12.10972974,-17.31037327,8.640115561,6.228855417,-12.91400535,520.7128906,141.7167969,662.4296875,-69.43358999999916,13.158470000000477,-252.9275699999971,2516.177999999968
1569,7.662215338,102.509734,11.57541448,66.40473292,22.59132628,-12.01994349,-17.37980685,8.647053735,6.234451707,-12.90084688,534.1542969,138.546875,672.7011719,-69.43358000000188,13.158470000000477,-252.92756000000338,5932.44930000003
1570,7.727186774,102.529502,11.58619656,66.15180535,22.61860769,-11.93015724,-17.44924044,8.65399191,6.240047997,-12.88768842,550.7207031,135.9765625,686.6972656,-69.43358999999916,13.15845999999965,-252.9275699999971,7499.207399999932
1571,7.79215821,102.54927,11.59697864,65.89887778,22.64588911,-11.84037099,-17.51867402,8.660930084,6.245644287,-12.87452995,557.0683594,134.9433594,692.0117188,-69.43357999999833,13.158470000000477,-252.9275699999971,2771.3416999999936
1572,7.857129646,102.5690381,11.60776072,65.64595021,22.67317052,-11.75058475,-17.5881076,8.667868258,6.251240576,-12.86137148,569.8066406,133.6054688,703.4121094,-69.43358000000188,13.158469999998701,-252.92757000001131,5848.517900000047
1573,7.928886304,102.5912711,11.62117959,65.37861849,22.7005879,-11.66158648,-17.64977208,8.677082926,6.256111619,-12.83387676,584.4257813,132.0078125,716.4335938,-61.66448000000102,27.494719999999973,-267.3317200000014,4471.526899999958
1574,8.000642961,102.6135041,11.63459846,65.11128676,22.72800527,-11.57258822,-17.71143655,8.686297594,6.260982661,-12.80638204,590.1445313,131.5703125,721.7148438,-61.66446999999664,27.494719999999973,-267.3317299999951,1897.6568000000498
1575,8.072399618,102.6357371,11.64801733,64.84395504,22.75542264,-11.48358996,-17.77310103,8.695512262,6.265853704,-12.77888732,602.3007813,129.7539063,732.0546875,-61.66448000000102,27.494719999999973,-267.3317200000014,2850.442699999917
1576,8.144156275,102.6579701,11.6614362,64.57662331,22.78284001,-11.39459169,-17.8347655,8.70472693,6.270724746,-12.75139261,616.6640625,127.8203125,744.484375,-61.66447000000019,27.49471000000092,-267.3317299999951,2072.720000000004
1577,8.215912933,102.6802031,11.67485507,64.30929159,22.81025739,-11.30559343,-17.89642998,8.713941599,6.275595789,-12.72389789,622.4414063,126.4628906,748.9042969,-61.66448000000102,27.494719999999973,-267.3317200000014,1072.426000000064
1578,8.294375609,102.7052706,11.69129698,64.02693441,22.83807796,-11.21782452,-17.9491112,8.725409412,6.28001788,-12.68112135,634.9902344,125.3984375,760.3886719,-52.681220000000195,42.776540000000196,-282.3571800000053,1612.9029999999602
1579,8.372838285,102.7303381,11.70773889,63.74457724,22.86589853,-11.1300556,-18.00179242,8.736877226,6.284439971,-12.63834481,651.625,124.7597656,776.3847656,-52.681220000000195,42.776540000000196,-282.3571699999974,2512.8570000000536
1580,8.451300961,102.7554056,11.7241808,63.46222006,22.8937191,-11.04228669,-18.05447364,8.748345039,6.288862062,-12.59556828,658.0214844,124.7617188,782.7832031,-52.681220000000195,42.77652999999937,-282.3571799999982,741.6160000000218
1581,8.529763638,102.7804731,11.74062271,63.17986289,22.92153967,-10.95451778,-18.10715486,8.759812853,6.293284153,-12.55279174,671.7519531,125.1679688,796.9199219,-52.681220000000195,42.776540000000196,-282.3571699999974,1555.845999999974
1582,8.608226314,102.8055405,11.75706462,62.89750571,22.94936025,-10.86674886,-18.15983609,8.771280666,6.297706244,-12.5100152,688.3789063,125.9023438,814.28125,-52.68122999999747,42.776540000000196,-282.3571800000053,2350.951000000009
1583,8.69312547,102.8338127,11.77688904,62.59954256,22.97785196,-10.78063471,-18.20226237,8.784884674,6.301942561,-12.4511217,694.1445313,126.3339844,820.4785156,-42.426280000000816,58.89349999999993,-297.96314999999396,179.7070000000076
1584,8.778024627,102.8620848,11.79671346,62.30157942,23.00634368,-10.69452055,-18.24468865,8.798488683,6.306178879,-12.39222819,707.2128906,126.7441406,833.9570313,-42.426280000000816,58.89350999999898,-297.96314000000024,991.9329999999036
1585,8.862923783,102.8903569,11.81653788,62.00361627,23.0348354,-10.6084064,-18.28711493,8.812092691,6.310415196,-12.33333468,721.8769531,127.5800781,849.4570313,-42.426280000000816,58.89351000000076,-297.96315000000106,1292.2260000000279
