Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Total Force X,Total Force Y,Total Force Z,Front Force X,Front Force Y,Front Force Z,Back Force X,Back Force Y,Back Force Z,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity
86,-0.8301995477,29.9240382,46.01235356,32.64463974,-4.307941964,-6.312339265,1.189978157,2.431978292,-6.960947848,0.3848356824,-17.00802612,-17.56329346,718.8046875,-9.619140625,72.49298096,309.8027344,-54.9296875,7.388885498,409.0019531,1.1280310000001403,-3.477802600000024,-15.704539999994438
87,-0.8343353787,29.91669976,46.03145751,32.6289352,-4.312413376,-6.321988299,1.191106189,2.432297043,-6.959051161,0.3813578797,-16.94903564,-18.57290649,717.6425781,-9.586486816,72.8991394,310.1210938,-54.32623291,7.362548828,407.5214844,1.128032000000001,-3.4778026999999767,-15.704540000001543
88,-0.8384712097,29.90936131,46.05056146,32.61323065,-4.316884787,-6.331637332,1.19223422,2.432615794,-6.957154474,0.377880077,-16.94281006,-19.61685181,717.5664063,-9.564697266,73.30465698,311.3964844,-53.68780518,7.378112793,406.1699219,1.1280309999999183,-3.477802700000032,-15.70455000000237
89,-0.8431838307,29.90196818,46.06924556,32.59761165,-4.321250034,-6.341456116,1.193344365,2.432751615,-6.955469689,0.3738116871,-16.92056274,-20.22744751,716.5195313,-9.564697266,73.30465698,311.3964844,-53.07720947,7.355865479,405.1230469,1.1101449999999513,-4.068389899999969,-15.619000000000938
90,-0.8478964516,29.89457506,46.08792966,32.58199264,-4.325615281,-6.3512749,1.194454511,2.432887436,-6.953784904,0.3697432972,-16.33984375,-19.60693359,715.4746094,-8.988861084,73.31735229,311.6914063,-53.7104187,7.350982666,403.7832031,1.110146000000034,-4.0683899000000245,-15.61900999999466
91,-0.8526090725,29.88718193,46.10661377,32.56637364,-4.329980529,-6.361093684,1.195564656,2.433023257,-6.952100119,0.3656749072,-16.37945557,-20.24914551,714.0703125,-9.00894165,73.31689453,312.9824219,-53.06774902,7.370513916,401.0878906,1.1101449999999513,-4.068389999999977,-15.619000000000938
92,-0.8573216934,29.8797888,46.12529787,32.55075463,-4.334345776,-6.370912468,1.196674801,2.433159078,-6.950415335,0.3616065173,-17.50195313,-21.34350586,712.7148438,-10.10342407,73.72189331,312.9921875,-52.37838745,7.398529053,399.7226563,1.1101449999999513,-4.0683899000000245,-15.619010000001765
93,-0.8620343144,29.87239567,46.14398197,32.53513563,-4.338711023,-6.380731252,1.197784946,2.433294899,-6.94873055,0.3575381273,-17.47396851,-21.90481567,712.0019531,-10.11447144,73.72174072,313.3125,-51.81692505,7.35949707,398.6894531,1.1101450000001734,-4.068389999999977,-15.619000000000938
94,-0.8672494576,29.86496252,46.16200864,32.51985818,-4.342935444,-6.390657714,1.198839405,2.433255471,-6.947207924,0.3529165812,-16.93756104,-21.30987549,711.2792969,-9.5496521,73.73431396,313.9277344,-52.42443848,7.387908936,397.3515625,1.0544589999998966,-4.621546099999985,-15.277449999999249
95,-0.8724646009,29.85752938,46.18003531,32.50458074,-4.347159865,-6.400584177,1.199893864,2.433216042,-6.945685298,0.3482950351,-16.93789673,-22.32925415,710.2695313,-9.570831299,74.14486694,313.96875,-51.81561279,7.36706543,396.3007813,1.0544590000001186,-4.62154610000004,-15.277439999998421
