Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Pelvis Lateral Tilt,Pelvis Forward Tilt,Hand Angular Velocity,Arm Angular Velocity,Torso Angular Velocity,Pelvis Angular Velocity,Total Force X,Total Force Y,Total Force Z,Front Force Y,Front Force Z,Back Force Y,Back Force Z,Front Torque,Back Torque
62,3.851614489,22.91075112,45.56893476,140.17743814,-9.267429723,19.28032667,4.682113196,7.646059877,12.6265625,-28.696875,-30.1625,-42.55625,19.91665649,80.89753723,751.5175781,19.16212463,83.36914063,-14.21813965,668.1484375,-0.8484807741006096,6.769349594959038
63,3.853526055,22.95109933,45.58408102,140.19987256000002,-9.270829085,19.31582613,4.674729684,7.652186239,12.871875,-28.73125,-30.05,-42.3875,19.79525757,80.91693115,751.5097656,19.17391968,83.36132813,-14.67034912,668.1484375,-0.7879962611738922,6.719703766076768
64,3.85543762,22.99144753,45.59922729,140.22230697999998,-9.274228447,19.35132559,4.667346171,7.658312601,13.1171875,-28.765625,-29.9375,-42.21875,19.34030151,80.88296509,752.265625,19.1734314,83.38085938,-14.21722412,668.8847656,-0.7295569109233331,6.66990651948261
65,3.857905955,23.03181713,45.61432083,140.24496256,-9.276946468,19.38637697,4.660249553,7.664080931,13.140625,-28.86875,-29.496875,-42.16875,19.20626831,80.49250793,752.2910156,19.59507751,83.40625,-14.66943359,668.8847656,-0.6732550893741615,6.619996295788926
66,3.860374291,23.07218673,45.62941437,140.26761814,-9.279664489,19.42142835,4.653152935,7.66984926,13.1640625,-28.971875,-29.05625,-42.11875,18.79351807,80.05212402,753.0136719,20.0010376,83.39257813,-14.21487427,669.6210938,-0.6191750753419616,6.570012220770012
67,3.862842627,23.11255633,45.6445079,140.29027371,-9.28238251,19.45647973,4.646056317,7.675617589,13.1875,-29.075,-28.615625,-42.06875,18.38796997,80.48696899,752.890625,19.59118652,83.6875,-13.78353882,669.203125,-0.5673927290549514,6.519993843519176
68,3.865310962,23.15292592,45.65960144,140.31292929,-9.285100532,19.49153111,4.638959699,7.681385918,13.2109375,-29.178125,-28.175,-42.01875,18.78363037,80.04812622,753.3535156,20.0012207,84.03515625,-14.21316528,669.3183594,-0.5179752010933517,6.469980871823514
69,3.867779298,23.19329552,45.67469498,140.33558487,-9.287818553,19.52658248,4.631863081,7.687154247,13.234375,-29.28125,-27.734375,-41.96875,18.39312744,79.66807556,753.9453125,20.40681458,84.00585938,-13.78262329,669.9394531,-0.47098068493246514,6.4200129061550495
70,3.870833416,23.23377452,45.68980317,140.35856515,-9.28984985,19.56116779,4.625184475,7.692576315,13.0484375,-29.4625,-27.8125,-41.7875,17.78790283,80.06256104,753.9609375,20.0123291,84.02148438,-13.78262329,669.9394531,-0.42645821607555223,6.370129173640775
71,3.873887534,23.27425352,45.70491137,140.38154543000002,-9.291881148,19.5957531,4.618505868,7.697998384,12.8625,-29.64375,-27.890625,-41.60625,18.21838379,79.01733398,754.0878906,20.42254639,83.73828125,-14.23706055,670.3496094,-0.38444752054474146,6.320368263464801
72,3.876941652,23.31473253,45.72001956,140.40452571,-9.293912446,19.63033842,4.611827261,7.703420452,12.6765625,-29.825,-27.96875,-41.425,18.21554565,79.01765442,753.765625,20.42222595,83.41601563,-14.23706055,670.3496094,-0.34497891530376873,6.270767865358993
73,3.87999577,23.35521153,45.73512775,140.42750599,-9.295943743,19.66492373,4.605148655,7.70884252,12.490625,-30.00625,-28.046875,-41.24375,18.23757935,79.42459106,754.4746094,20.01202393,83.38867188,-14.23614502,671.0859375,-0.30807326283246417,6.2213645130888775
74,3.883049888,23.39569053,45.75023594,140.45048627,-9.297975041,19.69950904,4.598470048,7.714264589,12.3046875,-30.1875,-28.12499999,-41.0625,17.82369995,80.08370972,754.4765625,20.01217651,83.06835938,-13.81121826,671.4082031,-0.27374198143005296,6.172193335027365
75,3.886694728,23.43637427,45.76543849,140.47389108,-9.299325674,19.73361283,4.592326516,7.71935752,11.9875,-30.1375,-26.56874999,-40.7625,18.23614502,79.65556335,754.4902344,20.42237854,83.09570313,-14.24661255,671.3945313,-0.24198711194806,6.123287813945005
76,3.890339569,23.47705802,45.78064103,140.49729589999998,-9.300676306,19.76771662,4.586182983,7.724450451,11.6703125,-30.0875,-25.01249999,-40.4625,18.25909424,80.06576538,754.4628906,20.01217651,83.06835938,-14.24661255,671.3945313,-0.2128014407284961,6.07467955802282
77,3.89398441,23.51774177,45.79584358,140.52070071,-9.302026939,19.80182041,4.58003945,7.729543382,11.353125,-30.0375,-23.45624999,-40.1625,17.63604736,80.48394775,755.1484375,19.59399414,83.75390625,-14.24661255,671.3945313,-0.18616867769159254,6.026398084836026
78,3.89762925,23.55842551,45.81104612,140.54410552000002,-9.303377571,19.8359242,4.573895918,7.734636314,11.0359375,-29.9875,-21.89999999,-39.8625,18.25088501,80.06559753,755.1054688,20.01234436,83.7109375,-14.24661255,671.3945313,-0.1620636878174051,5.97847061968554
79,3.901274091,23.59910926,45.82624867,140.56751034,-9.304728204,19.87002799,4.567752385,7.739729245,10.71875,-29.9375,-20.34375001,-39.5625,18.25036621,80.07022095,755.4140625,20.01150513,83.71679688,-14.24975586,671.6972656,-0.14045277370976986,5.930921909214612
80,3.905493186,23.64009828,45.84162836,140.59142851000001,-9.305408457,19.90363991,4.562243286,7.744516732,10.3953125,-30.05625,-22.71875001,-39.49375,19.09387207,80.48187256,755.828125,19.60604858,83.71289063,-15.13327026,672.1152344,-0.12129400654147501,5.883774050818186
81,3.909712282,23.6810873,45.85700806,140.61534669,-9.30608871,19.93725184,4.556734187,7.74930422,10.071875,-30.175,-25.09375001,-39.425,18.24645996,80.05885315,755.5253906,20.01200867,83.69921875,-14.24398804,671.8261719,-0.10453760242222097,5.837046338001459
82,3.913931377,23.72207633,45.87238776,140.63926486,-9.306768963,19.97086377,4.551225087,7.754091708,9.748437498,-30.29375,-27.46875001,-39.35625,18.18795776,80.46289063,755.2441406,19.60592651,83.72265625,-14.2394104,671.5214844,-0.09012634100450358,5.790755121603579
83,3.918150472,23.76306535,45.88776746,140.66318304,-9.307449216,20.0044757,4.545715988,7.758879195,9.424999998,-30.4125,-29.84375001,-39.2875,18.21408081,80.87686157,755.5195313,19.19573975,83.6953125,-14.24258423,671.8242188,-0.0779960228678811,5.744913686679237
84,3.922369568,23.80405438,45.90314715,140.68710121,-9.308129469,20.03808763,4.540206889,7.763666683,9.101562499,-30.53125,-32.21875,-39.21875,18.21408081,80.87686157,755.5195313,19.19573975,83.6953125,-14.24258423,671.8242188,-0.06807596190150726,5.699532144824468
85,3.927112679,23.84547717,45.91877418,140.71160297,-9.308144718,20.07120729,4.53541148,7.768175052,8.915624999,-30.428125,-32.71875,-39.00625,18.22894287,80.87641907,755.8320313,19.19618225,84.0078125,-14.24258423,671.8242188,-0.06028950859127352,5.6546173418429575
86,3.93185579,23.88689997,45.93440121,140.73610474,-9.308159968,20.10432696,4.530616071,7.77268342,8.729687499,-30.325,-33.21875,-38.79375,18.63354492,80.4415741,755.6445313,19.60606384,83.40429688,-14.67398071,672.2402344,-0.05455459986374154,5.61017278087504
