Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity,COP Velocity
1727,37.25430362,122.3913844,32.15712942,3.157333097,24.48519616,14.99829198,-21.60440446,-8.397978081,-11.70915762,11.51957761,724.4335938,73.87109375,798.3046875,281.2350199999969,88.9281300000011,163.6114129999999,286.6950000000088
1728,37.0583957,122.1700005,31.99688755,3.345360531,24.43641455,14.86098172,-21.33171894,-8.415823076,-11.72261751,11.59958007,719.9394531,73.87109375,793.8105469,272.6855200000031,80.00245999999933,188.0274339999999,73.07199999991099
1729,36.86248779,121.9486167,31.83664568,3.533387966,24.38763293,14.72367147,-21.05903342,-8.433668071,-11.7360774,11.67958253,717.9980469,73.54882813,791.546875,272.68551999999954,80.00245999999933,188.02743499999997,462.3710000000756
1730,36.66657987,121.7272329,31.67640381,3.7214154,24.33885132,14.58636122,-20.7863479,-8.451513066,-11.74953728,11.75958499,714.796875,73.53515625,788.3320313,272.68551999999954,80.00246000000111,188.0274340000003,220.0599999998758
1731,36.47067195,121.505849,31.51616193,3.909442835,24.29006971,14.44905096,-20.51366238,-8.469358061,-11.76299717,11.83958746,711.2441406,73.65039063,784.8945313,272.68551999999954,80.00247000000016,188.02743499999997,190.75199999997494
1732,36.27476403,121.2844652,31.35592006,4.09747027,24.24128809,14.31174071,-20.24097686,-8.487203057,-11.77645706,11.91958992,709.9785156,73.33398438,783.3125,272.68551999999954,80.00245999999933,188.0274349999995,578.6030000001574
1733,36.07608062,121.0589638,31.19108289,4.309293919,24.18966213,14.17930782,-19.97904635,-8.498134779,-11.78911537,11.98970508,707.1152344,73.02734375,780.1425781,261.9305099999991,70.11516000000029,211.82364900000027,1227.5989999998274
1734,35.87739721,120.8334625,31.02624572,4.521117568,24.13803617,14.04687494,-19.71711584,-8.5090665,-11.80177369,12.05982024,703.5644531,72.41210938,775.9765625,261.9305099999991,70.11516000000029,211.82364900000027,1891.2960000000112
1735,35.67871381,120.6079611,30.86140854,4.732941217,24.08641021,13.91444205,-19.45518533,-8.519998222,-11.814432,12.1299354,701.9941406,72.109375,774.1035156,261.93051000000264,70.11516000000029,211.8236489999994,921.8230000001313
1736,35.4800304,120.3824597,30.69657137,4.944764866,24.03478425,13.78200917,-19.19325481,-8.530929944,-11.82709031,12.20005056,699.421875,72.53320313,771.9550781,261.93051999999994,70.11515999999851,211.82364900000027,-1307.506000000103
1737,35.28134699,120.1569584,30.5317342,5.156588515,23.98315829,13.64957628,-18.9313243,-8.541861666,-11.83974862,12.27016572,695.9257813,71.9140625,767.8398438,261.9305099999991,70.11516000000029,211.82364900000027,1854.244000000108
1738,35.08155936,119.9294585,30.36179078,5.391105141,23.92964975,13.52264759,-18.68206683,-8.546322273,-11.85120433,12.32962731,694.9433594,72.2109375,767.1542969,249.25746999999987,59.46158999999973,234.51662599999955,-608.8770000001205
1739,34.88177173,119.7019586,30.19184736,5.625621768,23.87614121,13.39571889,-18.43280936,-8.550782879,-11.86266004,12.38908889,692.71875,72.34765625,765.0664063,249.25746999999987,59.46158000000068,234.51662700000054,-738.9080000000376
1740,34.68198409,119.4744586,30.02190394,5.860138395,23.82263267,13.26879019,-18.18355189,-8.555243486,-11.87411575,12.44855047,690.4882813,72.35546875,762.84375,249.25746999999987,59.46158000000068,234.51662699999963,630.9380000000147
1741,34.48219646,119.2469587,29.85196052,6.094655022,23.76912412,13.14186149,-17.93429442,-8.559704093,-11.88557146,12.50801206,689.8457031,73.08398438,762.9296875,249.25746999999987,59.46158999999973,234.51662700000054,-1346.9259999999394
1742,34.28240883,119.0194588,29.6820171,6.329171649,23.71561558,13.01493279,-17.68503695,-8.564164699,-11.89702717,12.56747364,687.9238281,73.078125,761.0019531,249.25746999999987,59.461579999998904,234.51662699999963,215.8480000000509
1743,34.08314066,118.7916511,29.50625902,6.584473335,23.66122891,12.89380113,-17.45006142,-8.562738542,-11.90696539,12.61572255,686.6679688,73.078125,759.7460938,234.97552999999982,48.24890999999987,255.30168600000013,-281.9730000001073
1744,33.88387248,118.5638434,29.33050094,6.83977502,23.60684224,12.77266946,-17.21508588,-8.561312385,-11.91690362,12.66397145,685.6992188,73.07421875,758.7734375,234.97554000000065,48.248900000000816,255.30168500000005,91.38600000005681
1745,33.68460431,118.3360357,29.15474286,7.095076706,23.55245558,12.65153779,-16.98011035,-8.559886227,-11.92684184,12.71222036,685.0761719,73.19921875,758.2753906,234.97552999999982,48.24890999999987,255.30168600000013,-364.8310000000947
1746,33.48533614,118.108228,28.97898478,7.350378392,23.49806891,12.53040613,-16.74513481,-8.55846007,-11.93678006,12.76046927,684.4335938,73.19921875,757.6328125,234.97554000000065,48.24890999999987,255.30168599999925,437.1640000001662
1747,33.28606796,117.8804203,28.8032267,7.605680077,23.44368224,12.40927446,-16.51015927,-8.557033913,-11.94671829,12.80871817,684.4335938,73.93554688,758.3691406,234.97554000000065,48.248900000000816,255.30168500000005,-1632.7450000001136
1748,33.08884926,117.6535214,28.62082256,7.878763468,23.38941729,12.29392284,-16.29075842,-8.550419221,-11.95490556,12.84539514,683.5039063,73.93554688,757.4394531,219.40084999999954,36.67697000000025,273.0833910000001,-508.24999999986176
1749,32.89163056,117.4266224,28.43841842,8.151846858,23.33515233,12.17857123,-16.07135756,-8.54380453,-11.96309283,12.8820721,683.5703125,74.23828125,757.8085938,219.40086000000036,36.676959999999426,273.0833900000009,-922.2630000001573
1750,32.69441186,117.1997235,28.25601428,8.424930249,23.28088738,12.06321962,-15.8519567,-8.537189839,-11.9712801,12.91874906,682.921875,74.23828125,757.1601563,219.40085999999857,36.676959999999426,273.0833910000001,-187.34199999994416
1751,32.49719315,116.9728245,28.07361014,8.698013639,23.22662242,11.947868,-15.63255584,-8.530575147,-11.97946738,12.95542602,683.8789063,75.2734375,759.1523438,219.40086000000036,36.6769600000012,273.08338999999825,-2004.1949999999815
1752,32.29997445,116.7459256,27.891206,8.97109703,23.17235747,11.83251639,-15.41315498,-8.523960456,-11.98765465,12.99210298,682.9394531,74.96679688,757.90625,219.40086000000036,36.676959999999426,273.0833910000001,760.6980000000476
1753,32.10619424,116.5206792,27.70130113,9.257671094,23.11916651,11.72266275,-15.21030708,-8.512930767,-11.99393698,13.01703369,682.9550781,74.95703125,757.9121094,202.84790000000007,24.93070999999958,286.5740640000016,115.40599999989354
1754,31.91241404,116.2954328,27.51139625,9.544245157,23.06597555,11.6128091,-15.00745919,-8.501901077,-12.00021931,13.0419644,682.3183594,75.98828125,758.3066406,202.84788999999924,24.93070999999958,286.57406299999974,-2537.98699999993
1755,31.71863383,116.0701865,27.32149137,9.830819221,23.01278459,11.50295546,-14.8046113,-8.490871388,-12.00650164,13.0668951,681.96875,75.68359375,757.6523438,202.84789000000103,24.930700000000527,286.57406399999985,1068.0090000000746
1756,31.52485363,115.8449401,27.1315865,10.11739329,22.95959363,11.39310182,-14.6017634,-8.479841699,-12.01278397,13.09182581,681.6640625,76.1171875,757.78125,202.84790000000007,24.93070999999958,286.57406900000024,-689.8140000000694
1757,31.33107342,115.6196937,26.94168162,10.40396735,22.90640266,11.28324817,-14.39891551,-8.46881201,-12.0190663,13.11675652,680.9863281,76.7265625,757.7128906,202.84788999999924,24.93070999999958,286.5740599999995,-1707.548000000088
