Time,Hip/Shoulder Separation,Shoulder Horizontal Abduction,Shoulder Abduction,Elbow Flexion,Torso Lateral Tilt,Torso Forward Tilt,Torso Rotation,Pelvis Lateral Tilt,Pelvis Forward Tilt,Pelvis Rotation,Front Vertical Force,Back Vertical Force,Total Vertical Force,Torso Angular Velocity,Pelvis Angular Velocity,Arm Angular Velocity
928,-3.500763654,84.6809005,-6.782596374,39.54214196,4.713703379,-10.87665607,2.730708742,-0.3309812147,-1.611870355,-0.7233354572,-0.095703125,561.8984375,561.8027344,4.82837199999997,-11.354927200000086,-20.70731999999964
929,-3.509606868,84.65842251,-6.815899231,39.52143464,4.726790226,-10.8783837,2.735537114,-0.2866123211,-1.619463466,-0.7346903844,-0.431640625,562.2128906,561.78125,4.82837199999997,-11.354927199999976,-20.70731999999964
930,-3.518450081,84.63594453,-6.849202087,39.50072732,4.739877073,-10.88011132,2.740365485,-0.2422434275,-1.627056578,-0.7460453115,-0.107421875,563.5585938,563.4511719,4.828370999999887,-11.354927099999967,-20.70731999999964
931,-3.52499594,84.61215041,-6.884648952,39.47949208,4.75314739,-10.88240052,2.744651864,-0.197952657,-1.633988132,-0.7555703381,-0.107421875,563.8515625,563.7441406,4.286379000000284,-9.525026599999986,-21.235240000002875
932,-3.531541799,84.5883563,-6.920095816,39.45825684,4.766417707,-10.88468973,2.748938243,-0.1536618865,-1.640919685,-0.7650953646,-0.431640625,563.8691406,563.4375,4.28637899999984,-9.525026500000088,-21.235240000002875
933,-3.538087658,84.56456218,-6.95554268,39.4370216,4.779688023,-10.88697893,2.753224621,-0.1093711159,-1.647851239,-0.7746203911,-0.431640625,564.484375,564.0527344,4.286378000000202,-9.525026499999978,-21.23523999999577
934,-3.544633517,84.54076806,-6.990989544,39.41578636,4.79295834,-10.88926813,2.757511,-0.06508034541,-1.654782793,-0.7841454176,-1.388671875,564.1796875,562.7910156,4.28637899999984,-9.525026499999978,-21.235240000002875
935,-3.551179376,84.51697394,-7.026436408,39.39455112,4.806228657,-10.89155734,2.761797379,-0.02078957489,-1.661714346,-0.7936704441,-1.072265625,564.5039063,563.4316406,4.28637899999984,-9.525026499999978,-21.23523999999577
936,-3.555309494,84.49201627,-7.063898381,39.37275277,4.819576887,-10.89435459,2.765532423,0.02308109888,-1.668058197,-0.8012126992,-1.072265625,565.4238281,564.3515625,3.7350439999999097,-7.5422551000000615,-21.79835000000452
937,-3.559439612,84.46705859,-7.101360354,39.35095443,4.832925116,-10.89715184,2.769267467,0.06695177265,-1.674402048,-0.8087549543,-0.431640625,565.4375,565.0058594,3.7350440000003537,-7.5422550999999505,-21.798339999996585
938,-3.56356973,84.44210092,-7.138822327,39.32915608,4.846273346,-10.89994909,2.773002511,0.1108224464,-1.680745898,-0.8162972093,-1.052734375,565.4472656,564.3945313,3.7350439999999097,-7.542255000000053,-21.79835000000452
939,-3.567699848,84.41714324,-7.1762843,39.30735774,4.859621576,-10.90274635,2.776737556,0.1546931202,-1.687089749,-0.8238394644,-1.349609375,565.4472656,564.0976563,3.7350449999999924,-7.5422550999999505,-21.798339999996585
940,-3.571829966,84.39218557,-7.213746273,39.28555939,4.872969805,-10.9055436,2.7804726,0.198563794,-1.693433599,-0.8313817195,-1.0625,565.7558594,564.6933594,3.7350439999999097,-7.5422550999999505,-21.798349999997413
941,-3.573472408,84.36625411,-7.253045061,39.26314274,4.886307649,-10.90878096,2.783657006,0.2416827141,-1.699270218,-0.8368247605,-1.0625,566.4941406,565.4316406,3.1844059999999175,-5.443041000000037,-22.416650000003813
