	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junu_008.c3d
38	38.00000	0.14800	99.93616	88.44989	-24.77624	-23.03312	57.86932	-15.96417	19.37093	-37.87558	-1.14328	-8.89104	-0.11923	3.21585	-6.75465	13.70795	6.82417	-187.67825	-68.34040	-96.38071	-22.27458	-22.82398	-37.91426	0.44640	0.46482	0.00609	0.35095	
39	39.00000	0.15200	99.20953	88.15506	-24.90547	-22.54814	57.60521	-16.27007	19.18835	-37.62075	-1.14319	-8.80107	0.04863	3.23476	-6.56583	-20.28879	26.08874	-151.17644	-42.20195	-110.14726	10.37957	-7.67405	-15.80801	0.44697	0.46466	0.19749	0.36918	
40	40.00000	0.15600	98.73222	88.10864	-24.43910	-22.18217	56.67683	-17.38643	19.23750	-36.44976	-1.20891	-8.96564	-0.11236	3.24807	-6.41419	0.26108	32.11501	-68.58062	4.83577	-78.34702	31.36534	-16.58386	-32.02705	0.44678	0.46451	0.29977	0.29059	
41	41.00000	0.16000	98.67619	88.18762	-24.97487	-22.23248	57.04288	-17.19094	19.14799	-36.50012	-1.26506	-9.00611	0.08610	3.26906	-6.31686	13.89873	30.64727	29.11689	50.97374	-27.87822	30.97918	-0.23048	-16.33577	0.44674	0.46462	0.27709	0.21826	
42	42.00000	0.16400	98.96593	88.52063	-25.19138	-22.29812	57.15052	-16.90228	19.32034	-36.65897	-1.18940	-9.06631	0.07609	3.20921	-6.27844	-3.89721	35.56876	63.14399	49.24880	-24.65138	-4.19899	24.50546	24.23883	0.44654	0.46472	0.13883	0.15264	
43	43.00000	0.16800	99.17966	88.59004	-25.07001	-22.31111	56.93382	-17.47797	19.58753	-36.26390	-1.03842	-8.79366	0.05249	3.11457	-5.99125	-14.66946	1.55311	66.34798	34.47058	26.35939	25.38744	28.42703	36.79010	0.44679	0.46454	0.04129	0.00058	
44	44.00000	0.17200	99.49329	88.79552	-25.33538	-22.46397	57.49428	-16.49615	19.42069	-36.83831	-0.92946	-8.74222	0.12983	3.08412	-6.16940	8.09517	-39.00864	20.05833	16.45354	72.87003	47.53011	27.28407	-3.11092	0.44699	0.46428	-0.04675	-0.18580	
45	45.00000	0.17600	99.34007	88.71636	-24.79292	-22.70371	57.26167	-16.55728	19.45656	-36.75203	-0.80316	-8.77824	0.20193	3.21520	-6.39928	29.58795	23.35759	-5.32170	-34.95503	22.53223	-50.38251	4.88050	-27.59903	0.44717	0.46434	-0.03299	-0.30919	
46	46.00000	0.18000	99.45116	88.51684	-26.41829	-22.73598	58.67350	-16.42520	19.49211	-37.30821	-0.90093	-8.92876	0.42510	3.01120	-6.24980	47.24472	21.32248	33.33121	-25.39316	-11.09207	-17.87373	-12.63666	-31.72433	0.44727	0.46438	0.02426	-0.31576	
47	47.00000	0.18400	99.60432	88.51446	-26.87421	-22.95773	59.08968	-16.58994	19.20163	-36.86463	-0.93061	-9.01975	0.25978	3.33708	-6.62094	29.40361	18.40103	59.28331	-17.19235	-26.96210	-15.39034	-9.62597	-31.71615	0.44750	0.46453	0.00446	-0.29428	
