	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jimin_005.c3d
28	28.00000	0.10800	95.43449	77.44512	29.99379	-24.64529	2.47759	-44.95491	29.78516	-8.97352	-7.75935	-10.52967	0.44766	-11.87299	-0.49745	11.54780	19.28706	-0.91131	-38.28893	-8.01769	-72.54383	6.10357	-37.08223	0.42589	0.39589	-0.07322	-0.00173	
29	29.00000	0.11200	95.51392	77.55044	30.54662	-25.10494	1.97539	-44.83723	30.10553	-9.41283	-7.55174	-10.80384	0.32201	-11.92599	-0.65740	4.69052	-20.63329	15.76985	5.12547	25.53380	-75.64294	29.60339	-31.04222	0.42587	0.39616	-0.12496	-0.09445	
30	30.00000	0.11600	95.56046	77.48660	30.23557	-24.99351	2.46259	-44.48658	30.11337	-9.98479	-7.52207	-10.77609	0.58297	-11.85020	-0.72121	-6.05024	-27.28163	59.87188	-13.20381	12.49453	-43.39965	25.04447	6.47061	0.42629	0.39638	-0.10893	-0.19239	
31	31.00000	0.12000	95.99295	77.44701	30.30586	-24.87577	2.29416	-44.45050	30.58992	-10.09354	-7.35230	-10.77454	0.33101	-12.04176	-0.86513	15.15780	24.46042	49.60047	-50.97266	-32.98295	-61.98924	38.32747	13.07893	0.42671	0.39651	-0.02266	-0.23770	
32	32.00000	0.12400	95.95765	77.07800	29.61106	-24.77974	2.76506	-45.22278	30.94674	-9.84833	-7.21573	-10.71010	0.35573	-12.06638	-0.68290	2.18612	32.30301	33.04065	-42.15799	-89.33972	-18.53100	14.29092	22.39097	0.42728	0.39667	-0.01280	-0.04156	
33	33.00000	0.12800	96.26796	77.10938	29.33023	-24.37995	2.46486	-45.00967	30.86625	-9.76122	-7.23685	-10.62973	0.40514	-12.05500	-0.65625	-20.07542	-21.38643	24.48314	-25.74584	-78.14013	71.53764	12.31901	24.52048	0.42758	0.39649	-0.06507	0.18639	
34	34.00000	0.13200	96.14111	76.87102	29.78621	-24.64553	1.98004	-45.00486	30.79327	-9.46272	-7.11706	-10.52780	0.53357	-12.10687	-0.70368	-11.44131	-6.41806	-27.78868	-8.73341	-65.32206	45.82771	52.33416	8.76117	0.42775	0.39667	-0.10974	0.20965	
35	35.00000	0.13600	96.04401	77.04033	30.01637	-24.27227	1.31865	-44.69331	30.70629	-9.66660	-6.81812	-10.56228	0.50534	-12.25080	-0.57711	-1.10733	8.67535	-64.80299	44.15982	-46.83414	6.82912	56.90192	5.35201	0.42751	0.39702	-0.17747	0.18006	
36	36.00000	0.14000	95.62060	77.22884	30.82727	-24.73501	0.65748	-44.54425	30.63582	-9.80458	-6.66186	-10.48148	0.52722	-12.10220	-0.57845	-7.94013	-9.74915	-77.77804	29.06842	55.43288	-11.58030	30.24947	17.05165	0.42745	0.39719	-0.16238	0.00947	
37	37.00000	0.14400	95.42304	77.27539	30.88997	-24.96488	0.96684	-44.40633	30.37158	-10.00603	-6.57605	-10.41938	0.61240	-11.98518	-0.56716	-14.73720	7.39228	-67.23432	-30.23187	99.98530	-54.33203	2.15880	18.68937	0.42745	0.39737	-0.08441	-0.28284	
