	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Seokhyeon_010.c3d
27	27.00000	0.10400	108.11242	108.90610	57.88690	-34.25181	-33.99632	-55.11056	31.50850	17.94500	-3.10097	-36.92935	4.77839	-5.75385	-1.55336	-55.80733	-66.42359	26.67100	-28.55826	-247.35722	36.44378	-32.04638	137.27843	0.50941	0.46593	-0.25772	0.26400	
28	28.00000	0.10800	108.28545	108.78835	58.78802	-33.72878	-35.90512	-55.20829	31.72613	18.08010	-3.11148	-36.37531	4.79891	-5.83851	-1.78880	-8.09775	-52.77395	32.93886	-33.52520	-247.26453	40.21301	-12.53411	142.46817	0.50956	0.46531	-0.14704	0.30205	
29	29.00000	0.11200	108.36920	108.63445	59.32340	-33.11847	-37.16851	-55.45696	31.56896	18.56151	-3.10208	-35.83548	4.98005	-5.86637	-1.92043	-26.21605	-28.78021	-35.78122	-55.55779	-172.97357	57.93893	-14.11960	146.61061	0.50969	0.46494	-0.04048	0.09005	
30	30.00000	0.11600	108.00379	108.34238	59.77225	-33.50319	-38.11231	-56.39651	31.72422	19.55470	-3.16261	-35.30290	4.88840	-5.96992	-1.80899	-2.88625	-0.29917	-72.23363	-64.49181	-89.17426	31.31729	-7.48638	163.56445	0.50983	0.46485	0.01198	-0.21566	
31	31.00000	0.12000	107.79851	108.12116	59.82550	-33.40445	-38.30118	-56.93410	31.71567	20.07023	-3.21773	-34.52596	5.03301	-6.00233	-1.89841	-3.93034	-26.53514	-43.03256	-41.39838	32.44569	23.69388	19.91938	183.88988	0.51067	0.46494	-0.01119	-0.50054	
32	32.00000	0.12400	107.67721	108.01125	60.01815	-33.76296	-38.05827	-57.23605	31.62361	20.45764	-3.16283	-33.73759	5.02891	-6.11316	-1.99398	-13.37163	-27.58618	-13.61739	-25.64843	101.62808	-2.51297	75.35464	203.39728	0.51156	0.46585	-0.07736	-0.62302	
33	33.00000	0.12800	107.68959	107.91277	59.68119	-33.99625	-37.36847	-57.69221	31.74961	20.69612	-2.82433	-32.77280	4.99732	-6.02095	-2.00439	-2.70786	-13.67795	12.48973	-10.08492	59.39765	-65.64736	69.26744	211.04149	0.51306	0.46700	-0.16293	-0.40474	
34	34.00000	0.13200	107.77882	107.92900	59.24908	-33.70923	-36.94419	-57.43382	31.52982	20.10070	-2.80030	-31.92305	5.25324	-6.10146	-2.09774	-2.91802	-16.52506	33.76366	18.79970	-19.94015	-91.96334	21.73881	209.49734	0.51390	0.46762	-0.27165	-0.14301	
35	35.00000	0.13600	107.96541	108.05899	58.76301	-33.39739	-36.76572	-57.28043	31.67969	19.60951	-2.70502	-31.08228	5.24505	-5.99941	-2.13114	0.63900	-17.36789	21.19182	32.93279	-45.66595	-86.80190	24.82635	220.32704	0.51475	0.46778	-0.34632	-0.04727	
36	36.00000	0.14000	107.94571	108.19270	58.10569	-33.46555	-36.35426	-57.03048	31.64710	19.06290	-2.51715	-30.22187	5.31906	-5.92059	-2.24658	-29.98693	-17.94299	-37.12542	11.88673	-12.95334	-71.74178	19.28824	235.79694	0.51564	0.46759	-0.32874	-0.20143	
37	37.00000	0.14400	107.66673	108.15276	58.11157	-33.65824	-36.32536	-57.07480	31.64348	18.86067	-2.41058	-29.22641	5.29425	-5.91675	-2.03560	-34.69651	-0.85604	-21.83073	11.32066	20.76287	-59.79943	12.12330	225.89481	0.51657	0.46737	-0.30928	-0.41123	
38	38.00000	0.14800	107.77025	108.28022	57.75714	-33.71220	-35.89796	-56.96885	31.35438	18.53184	-2.25667	-28.39003	5.42811	-5.89414	-1.98024	-25.50669	-33.90708	18.71273	-4.61377	56.12284	-0.20626	46.33438	231.61517	0.51780	0.46711	-0.28064	-0.51274	
39	39.00000	0.15200	107.81455	108.11118	58.19720	-34.16117	-35.94748	-57.20948	31.47606	18.97424	-1.92130	-27.30712	5.25158	-5.96049	-2.09199	-50.62761	-65.21710	65.87677	-12.63465	20.86497	36.73622	85.64867	222.28294	0.51926	0.46726	-0.28280	-0.48652	
40	40.00000	0.15600	108.32277	108.17879	58.32119	-33.85299	-36.19856	-57.04227	31.30977	18.88839	-1.47103	-26.55766	5.38195	-6.06879	-2.08735	-72.28738	-55.34272	116.09732	18.79479	-60.24488	2.02243	80.48040	218.09665	0.52022	0.46802	-0.32334	-0.35548	
41	41.00000	0.16000	108.74538	108.27093	58.37187	-33.97664	-36.57414	-56.93557	31.51142	18.75659	-1.22209	-25.51048	5.34626	-6.20577	-1.96252	-85.46513	-27.34178	84.72164	18.91036	-143.86824	-33.30816	35.86757	230.04295	0.52128	0.46870	-0.34012	-0.17131	
42	42.00000	0.16400	109.01385	108.33083	58.27723	-34.07965	-37.31295	-57.31932	31.72601	18.85799	-1.20875	-24.68360	5.17350	-6.28326	-1.61218	-74.01594	-42.02443	44.60319	-45.21522	-133.11911	-39.64375	-4.15262	227.93628	0.52176	0.46926	-0.33083	-0.04131	
43	43.00000	0.16800	109.09329	107.90935	57.96426	-34.34734	-37.30294	-57.33302	32.56227	18.77634	-1.30514	-23.76545	4.98621	-6.50437	-1.68340	-26.50014	-59.64906	55.97401	-102.86436	-46.47110	-62.11272	-29.85744	219.70798	0.52240	0.46971	-0.29532	0.02941	
44	44.00000	0.17200	109.46246	107.51138	56.59790	-33.51644	-36.29300	-57.20479	32.02840	18.26392	-1.49600	-23.07226	5.60281	-6.61383	-1.90694	44.35176	-31.21022	37.44427	-81.14481	-23.53128	-64.09727	-35.66971	196.18074	0.52321	0.46964	-0.28398	0.00658	
45	45.00000	0.17600	109.39256	107.26015	56.33969	-33.71455	-36.14386	-57.60472	32.23177	18.49275	-1.63858	-22.36213	5.42498	-6.66771	-2.32526	98.43309	-0.71452	-42.14400	-25.43841	-37.09298	-36.15174	-9.34804	153.28720	0.52399	0.46945	-0.28581	-0.14650	
46	46.00000	0.18000	109.12488	107.31119	56.38494	-33.65105	-36.41172	-57.79578	31.95164	18.47550	-1.54064	-21.99922	5.57366	-6.62116	-2.70701	128.78366	-4.94608	-94.49483	33.74907	-28.80649	-2.63426	11.54252	101.86098	0.52483	0.46928	-0.25408	-0.35818	
47	47.00000	0.18400	108.63637	107.53251	57.63396	-33.75745	-37.45080	-57.76539	31.76571	18.60782	-1.45684	-21.56748	5.56469	-6.61651	-3.41239	65.86835	-51.16481	-124.52625	57.81603	52.40862	54.65683	43.12630	127.01628	0.52560	0.46904	-0.21156	-0.68056	
48	48.00000	0.18800	108.12297	107.77251	58.84891	-34.04643	-38.04069	-57.50386	31.84591	18.66438	-1.12567	-20.87166	5.58835	-6.52342	-3.64314	-18.88181	-48.11684	-90.89663	93.84814	130.57339	48.19346	48.56005	213.72394	0.52677	0.46910	-0.20114	-0.94185	
49	49.00000	0.19200	107.90295	108.28280	59.31812	-34.39972	-37.80441	-57.26234	31.50531	18.56586	-1.05094	-19.67510	5.72837	-6.46210	-3.65029	-33.19653	-29.09907	-52.76156	56.42962	157.84314	40.37656	51.85695	232.80476	0.52848	0.46921	-0.17574	-0.93684	
50	50.00000	0.19600	107.70045	108.22385	59.06725	-34.84534	-36.96049	-57.74007	31.47839	19.18956	-0.72624	-18.79131	5.77187	-6.31142	-3.61959	-45.30796	-47.11557	-20.12130	-37.00394	156.66153	66.77568	70.83691	212.74763	0.52982	0.46998	-0.16777	-0.65900	
51	51.00000	0.20000	107.74177	107.98898	58.33704	-35.24649	-35.74923	-58.05337	31.61709	19.77445	-0.48746	-17.86595	5.78616	-6.18270	-3.66728	-27.15229	-72.34464	-7.02677	-73.02003	82.33457	62.07019	28.55166	236.89925	0.53124	0.47054	-0.18731	-0.25963	
52	52.00000	0.20400	107.64571	107.63993	57.90535	-35.58364	-35.35234	-58.22388	31.76535	20.09762	-0.58542	-16.89833	5.79315	-6.26325	-3.98094	-23.56814	-68.57206	-10.77088	-68.23232	-28.22386	12.02414	-54.02006	211.29524	0.53249	0.47109	-0.19864	0.03896	
53	53.00000	0.20800	107.66238	107.44067	57.54846	-35.38538	-35.33333	-58.39824	31.74926	20.16401	-1.09194	-16.29239	5.87868	-6.31061	-4.03729	-33.55624	-49.65664	17.74898	-31.39526	-115.68974	-44.36349	-106.12199	127.72169	0.53312	0.47111	-0.23379	0.07134	
