	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Min_007.c3d
45	45.00000	0.17600	102.07162	89.57500	1.51053	-15.61670	31.24814	-0.80799	19.77244	-41.75714	0.48996	-9.18158	-0.29719	-1.82916	-3.73193	-100.18530	-8.66751	-11.49803	-11.27384	-32.88013	80.57114	-185.63451	180.58015	0.53133	0.48548	0.11397	-0.12433	
46	46.00000	0.18000	101.94857	89.32854	0.52401	-15.56298	32.07711	-0.72013	19.55238	-41.58431	-0.61174	-8.09387	-0.20843	-1.74118	-3.67741	34.17884	-35.74149	12.01609	15.37997	-32.48018	56.34973	2.72805	-14.19553	0.53258	0.48548	0.06488	0.00024	
47	47.00000	0.18400	102.16833	89.69670	-0.20442	-15.42175	32.64153	1.93608	19.42072	-43.89212	0.51361	-9.29311	-0.08571	-1.98200	-4.26909	49.68823	-7.71455	50.67005	59.50336	-30.87584	0.54533	134.44710	-136.08212	0.53122	0.48570	0.07311	0.06516	
48	48.00000	0.18800	102.35242	89.80175	-1.57634	-15.58923	33.85390	3.26745	19.28173	-45.34167	0.46064	-9.18133	0.10665	-2.03514	-4.10340	-96.60613	-30.19704	58.57790	29.82241	67.21558	23.57635	-158.61118	152.30429	0.53116	0.48585	0.15695	-0.00097	
49	49.00000	0.19200	102.62608	89.93577	-1.15427	-15.97354	34.09600	4.90833	19.13609	-46.50801	-0.75552	-8.07770	0.25583	-2.21597	-3.77445	-111.88583	-33.12298	40.08508	26.04426	136.49330	36.56068	-88.97922	50.50923	0.53300	0.48620	0.23932	-0.09883	
50	50.00000	0.19600	102.66802	90.00958	-0.60955	-16.28155	34.01696	3.97460	19.18528	-45.71707	-0.24945	-8.76320	0.28739	-2.23699	-3.56543	-22.97387	-17.02024	19.75795	11.25599	130.01912	0.16270	89.15203	-166.91205	0.53142	0.48492	0.23054	-0.13309	
51	51.00000	0.20000	102.79052	90.02579	-1.72053	-16.37943	35.67857	4.19809	19.18863	-45.83579	-0.03704	-9.40746	0.57632	-2.19745	-3.71947	88.58245	-14.28305	-22.63334	-30.26799	93.38282	-31.09923	48.02076	-134.92801	0.53043	0.48581	0.11534	-0.05494	
52	52.00000	0.20400	102.48692	89.77280	-1.16522	-16.49061	35.29786	2.79768	19.25154	-44.85436	0.13524	-9.83732	0.73262	-2.12001	-4.32078	97.30555	17.69495	-86.18626	-44.95388	5.34640	-58.62310	17.44202	-60.49902	0.53020	0.48570	0.00679	0.05996	
53	53.00000	0.20800	102.09476	89.66000	0.82497	-16.30844	33.27948	1.71161	19.26702	-43.95812	0.10258	-9.88258	0.66814	-2.18909	-4.31228	-61.44250	36.50942	-84.07846	-38.85350	-33.14848	-68.38510	-28.64923	-1.63302	0.53007	0.48592	-0.00473	0.05158	
54	54.00000	0.21200	101.82057	89.46695	2.54148	-16.41857	31.47475	0.40927	19.41698	-43.14732	-0.09789	-9.85556	0.74120	-2.29783	-3.53272	-44.92361	38.66412	-93.46635	-64.82961	-16.62142	-59.50377	-19.42367	0.71545	0.52983	0.48597	0.10371	-0.05987	
55	55.00000	0.21600	101.35027	89.13241	4.82818	-16.49481	29.30649	-1.01477	19.43843	-41.86307	-0.05517	-9.89431	0.73646	-2.42992	-3.63954	18.27425	-6.09608	-85.20782	-32.20672	39.92423	35.78676	13.85126	-9.16365	0.52943	0.48571	0.28545	-0.08760	
56	56.00000	0.22000	101.14113	89.20667	6.84047	-16.58082	27.67199	-1.80787	19.46152	-40.77013	0.01442	-9.92991	0.58932	-2.55096	-3.70814	47.91940	-31.57162	-59.30206	17.55906	78.72082	74.66901	22.41414	-12.82097	0.52903	0.48524	0.42491	0.08134	
