	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Junmin_005.c3d
28	28.00000	0.10800	101.67506	76.56983	26.22441	-19.65152	6.51085	-59.08175	18.54762	23.10251	-16.04187	-8.87632	5.38533	3.28553	-1.54077	-16.06750	-32.09549	65.77529	14.33606	81.06049	-76.31104	7.20883	11.77972	0.33142	0.38256	-0.46941	-0.22877	
29	29.00000	0.11200	102.19807	76.79224	23.58760	-18.70820	9.32529	-57.38129	18.44526	21.04150	-16.01053	-8.90573	5.55410	3.26037	-1.64683	0.84022	2.69987	103.91653	-0.82490	43.14605	-163.53606	11.77853	-0.17935	0.33156	0.38267	-0.55999	-0.20277	
30	30.00000	0.11600	102.51072	76.56062	21.49376	-18.27718	11.33207	-57.38119	18.84854	20.18161	-15.93877	-8.92863	5.40285	3.36224	-1.52876	15.02753	-2.17497	162.99391	-37.01017	6.16243	-125.15993	23.15648	1.55712	0.33190	0.38293	-0.65268	-0.18220	
31	31.00000	0.12000	103.47152	76.50224	17.43120	-17.36926	15.22997	-56.87721	18.64306	19.56306	-15.81346	-8.91149	5.29212	3.39979	-1.78345	23.78681	-25.46744	269.89548	23.33455	-3.07739	-64.32988	28.11073	15.26232	0.33218	0.38321	-0.72057	-0.20330	
32	32.00000	0.12400	104.67119	76.74586	12.19591	-16.62963	20.18414	-55.42721	18.25924	17.81376	-15.70751	-8.78225	5.35276	3.37780	-1.92062	23.02528	-3.51910	292.56534	55.06485	-16.71176	-117.04749	27.74565	29.41340	0.33233	0.38334	-0.70228	-0.20025	
33	33.00000	0.12800	105.81210	76.94091	6.67242	-16.12180	25.39955	-53.98923	18.16834	15.88246	-15.59271	-8.60524	5.56802	3.48658	-1.99536	8.71975	12.63494	183.96033	36.93147	-15.62294	-79.18406	27.30221	26.69888	0.33233	0.38339	-0.48961	-0.20243	
34	34.00000	0.13200	106.13348	77.04452	5.09425	-15.97786	26.87850	-52.97822	18.09946	14.85576	-15.49452	-8.45784	5.45982	3.44537	-1.88990	-1.79168	27.54724	25.53190	-36.18128	-0.69004	-35.55266	44.58332	20.84794	0.33237	0.38339	-0.20301	-0.27921	
35	35.00000	0.13600	106.01273	76.65228	4.55153	-15.92800	27.43227	-52.86047	18.54830	14.52439	-15.24275	-8.31611	5.31921	3.45463	-1.76175	-6.05170	23.39150	-66.20709	-142.53401	29.96672	-33.09415	52.37119	17.71994	0.33255	0.38350	0.00498	-0.36053	
36	36.00000	0.14000	105.59435	75.90073	5.11416	-16.22473	27.09984	-53.64254	18.90379	15.21944	-15.08292	-8.21800	5.23034	3.60064	-1.65956	-14.44804	11.34399	-111.51933	-180.10782	53.25944	17.64194	39.91257	3.82795	0.33282	0.38352	0.06852	-0.42905	
37	37.00000	0.14400	105.12649	75.20691	5.16605	-16.37272	27.26827	-54.14584	18.77399	15.88203	-14.93107	-8.24927	5.29981	3.75736	-1.56443	-15.07968	1.52108	-112.86966	-135.75200	53.72940	22.75315	35.85303	-5.56658	0.33264	0.38323	-0.07269	-0.50206	
