	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Suwon_007.c3d
28	28.00000	0.10800	82.81647	66.46909	-24.19997	-17.39168	51.56291	-29.92533	14.38231	-16.00733	1.64796	3.06092	6.44998	-2.56656	-5.65017	23.47352	-21.18001	-19.32079	35.14056	108.43771	67.71711	-14.66328	1.56057	0.48304	0.44894	0.13829	-0.27134	
29	29.00000	0.11200	82.81675	66.70813	-25.07464	-17.54867	53.31269	-27.99310	13.98476	-17.48049	1.67976	3.07872	6.83298	-2.47583	-6.02112	19.33529	-13.70332	-73.77916	67.88059	137.25005	27.40487	-2.82322	-10.11557	0.48299	0.44917	0.07671	-0.07190	
30	30.00000	0.11600	82.23077	67.01357	-20.86577	-17.25291	49.47753	-29.92496	14.47671	-15.78848	1.62122	2.99491	6.26905	-2.42553	-5.90653	-2.82208	-1.80148	-101.44892	83.44367	65.40900	64.18997	-7.01294	-10.76735	0.48295	0.44931	0.05593	0.16442	
31	31.00000	0.12000	82.01736	67.37384	-21.17384	-17.33924	50.11473	-27.26038	13.83691	-17.67739	1.61326	2.99523	6.63572	-2.39101	-6.00964	-18.10612	-8.64653	-85.15086	48.49369	-12.23052	29.04880	6.17873	3.36199	0.48303	0.44941	0.05067	0.31829	
32	32.00000	0.12400	81.56008	67.40217	-17.62391	-17.11183	46.28194	-29.80127	14.48720	-15.67610	1.66063	3.01201	6.04849	-2.38523	-5.82567	-12.66115	5.07412	-60.71318	-10.88276	-112.43424	-29.63200	0.42985	4.45206	0.48301	0.44951	0.00650	0.32980	
33	33.00000	0.12800	81.52351	67.28699	-19.34382	-17.15696	47.46885	-28.37092	14.02119	-16.83781	1.61446	3.02419	6.35170	-2.34837	-5.86244	-1.70207	-29.07933	-7.67361	-96.07875	-81.27636	9.12721	-4.75444	-6.76529	0.48296	0.44939	-0.02069	0.20305	
34	34.00000	0.13200	81.51467	66.62222	-18.86292	-17.14352	46.81659	-30.16382	14.24990	-15.25059	1.62715	2.96850	6.19888	-2.44475	-6.04805	4.22601	-24.46861	-28.07977	-109.82077	-45.10050	-79.87909	-11.01901	-38.90206	0.48272	0.44926	-0.08460	0.17229	
35	35.00000	0.13600	81.31144	66.40823	-18.81461	-17.05405	46.60235	-30.72191	14.68356	-15.19666	1.53186	2.74013	6.22748	-2.55677	-6.08798	12.34804	54.74675	-71.75836	-27.01579	-98.34528	-64.42173	-16.08564	-64.25951	0.48222	0.44925	-0.11119	0.14085	
36	36.00000	0.14000	80.94096	66.39690	-19.15803	-17.09290	46.31173	-30.00215	14.17068	-15.92280	1.50068	2.47821	6.32154	-2.46441	-5.71034	9.73546	45.88548	-67.94307	-31.27914	-38.97731	-51.07347	-10.30426	-47.81783	0.48173	0.44918	-0.10641	-0.03522	
37	37.00000	0.14400	80.76023	66.18732	-17.86548	-17.01572	45.38253	-31.33494	14.71888	-15.01151	1.44660	2.35842	6.12786	-2.53822	-5.79896	-12.90520	-13.62948	47.94478	46.08850	96.49516	-15.59380	-16.75848	-1.26553	0.48166	0.44901	-0.08343	-0.32238	
