	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yeongjae_002.c3d
28	28.00000	0.10800	78.11782	66.65351	45.78186	-23.19768	-7.85819	-44.99612	14.99820	8.52455	-27.83122	-5.38586	7.02017	-0.64339	-1.50006	-2.46455	24.36837	23.48903	49.62643	40.11352	39.85198	2.99325	11.92055	0.29053	0.33560	-0.00809	-0.13852	
29	29.00000	0.11200	78.07274	66.99242	45.54202	-23.27413	-7.69033	-44.37428	14.98465	8.03680	-27.86164	-5.31239	6.95445	-0.65630	-1.33233	-4.50086	9.31469	19.02053	85.60613	7.27141	27.97931	-7.81379	-0.13705	0.29091	0.33591	-0.10179	-0.23162	
30	30.00000	0.11600	78.26967	67.33728	45.36047	-23.47190	-7.41341	-44.01106	15.13538	7.79695	-27.95568	-5.39339	6.75999	-0.60731	-1.40538	-16.44505	-13.38236	44.45126	99.92276	-0.78333	9.11446	-11.87464	-23.09826	0.29132	0.33604	-0.19951	-0.26575	
31	31.00000	0.12000	78.42863	67.78903	45.00742	-22.96432	-7.20567	-42.39155	15.01217	6.19567	-28.05332	-5.50247	6.78816	-0.74596	-1.32398	-37.95444	-11.33412	26.35665	78.03208	-20.97739	-36.10237	-22.41690	-31.33868	0.29162	0.33648	-0.24471	-0.22823	
32	32.00000	0.12400	78.48100	67.95149	44.71074	-22.48601	-6.98414	-41.66865	14.94915	5.24532	-28.24131	-5.63575	6.85668	-0.74723	-1.19566	-43.49542	-26.26186	27.96543	-10.99501	-4.13341	-68.35632	-48.44482	-5.24450	0.29168	0.33709	-0.24345	-0.15641	
33	33.00000	0.12800	78.65207	67.69942	44.26229	-21.81040	-6.54950	-41.30003	14.89491	4.59440	-28.48520	-5.51162	7.01659	-0.78942	-1.18228	-36.55507	-6.20319	10.02894	-72.35603	19.66747	-84.88539	-65.77824	39.28276	0.29187	0.33760	-0.19765	-0.17547	
34	34.00000	0.13200	78.55363	67.37369	44.14921	-21.80341	-6.30646	-42.11580	14.88559	4.99832	-28.68495	-5.28239	6.97977	-0.80835	-0.95017	-29.08394	-0.16054	12.34195	-44.32553	85.95358	-62.71426	-33.75262	33.23101	0.29219	0.33791	-0.18141	-0.22307	
35	35.00000	0.13600	78.74603	67.34480	44.08628	-22.36975	-5.69930	-42.83648	14.96568	5.57732	-28.54147	-5.23113	6.72504	-0.74046	-0.94966	-16.12680	0.65278	6.50627	24.79811	112.46957	-71.96711	-1.20830	18.56665	0.29228	0.33819	-0.22634	-0.25011	
36	36.00000	0.14000	78.60567	67.57197	43.14543	-22.38943	-4.47699	-41.37660	14.87413	3.70786	-28.39634	-5.14309	6.96274	-0.69170	-0.82096	-10.60206	-38.28218	-56.50308	15.01635	100.92941	-24.12178	-6.62670	0.27222	0.29268	0.33819	-0.26157	-0.18018	
37	37.00000	0.14400	78.28888	67.46106	44.07001	-22.60280	-4.87659	-40.68962	15.01288	3.31144	-28.32356	-5.23920	6.77851	-0.77176	-1.19021	4.54961	-21.68298	-38.74322	61.34137	32.68375	15.77170	22.23927	-44.55081	0.29282	0.33800	-0.19724	-0.03033	
38	38.00000	0.14800	78.28872	68.05788	43.29372	-22.84141	-4.35244	-39.03347	14.60834	1.56767	-28.13434	-5.49807	6.88523	-0.60900	-1.04687	25.59881	21.51606	-6.57953	68.67956	-60.49410	-9.75033	63.20234	-69.43261	0.29260	0.33777	-0.11487	0.10588	
39	39.00000	0.15200	78.23282	68.01075	43.03933	-22.51914	-4.40975	-37.57481	14.28905	0.22253	-28.01320	-5.78218	7.12640	-0.66148	-1.22366	37.30993	-7.19554	-36.43856	-24.45019	-51.62136	30.14421	53.75426	-55.81026	0.29224	0.33775	-0.02956	0.15344	
40	40.00000	0.15600	77.99805	67.85890	43.43065	-22.79616	-4.89179	-38.11841	14.20720	0.92294	-28.04158	-5.92823	7.01160	-0.63580	-1.39717	33.44966	-6.20522	-48.94716	-42.01368	-27.85262	25.23887	3.25067	-22.37515	0.29209	0.33771	0.07295	0.07037	
41	41.00000	0.16000	77.84123	67.67619	43.54683	-22.77076	-5.10082	-38.79945	14.44183	1.61145	-28.22259	-5.94724	6.88573	-0.64320	-1.53729	9.88642	-19.84693	24.23103	-87.91257	5.59977	-2.10010	-60.06965	0.23948	0.29205	0.33757	0.11262	-0.02909	
42	42.00000	0.16400	78.19360	67.15649	42.51725	-22.34329	-4.00247	-39.53404	14.57307	2.27624	-28.55786	-5.91802	7.03163	-0.77265	-1.63688	-11.60744	-10.33645	47.59330	-98.14821	49.86079	0.57982	-75.85188	28.23740	0.29189	0.33710	0.09660	-0.13103	
43	43.00000	0.16800	78.22410	66.89120	42.79114	-22.68528	-4.00408	-41.41341	14.82032	4.14460	-28.74372	-5.71606	6.64007	-0.89146	-1.54117	-15.28699	5.59874	24.40892	-33.04470	43.41848	-39.39392	-41.75793	58.37728	0.29174	0.33643	-0.01577	-0.23027	
44	44.00000	0.17200	78.38854	66.88905	41.81450	-22.43307	-3.00627	-41.25994	14.95035	3.63188	-28.80389	-5.44590	6.70746	-0.89447	-1.48281	-22.15090	3.13443	43.13631	39.33068	-11.48635	-47.40293	-14.76326	52.55421	0.29154	0.33580	-0.11851	-0.17890	
45	45.00000	0.17600	78.56805	67.20827	41.72425	-22.24538	-3.11097	-40.73672	14.80864	3.11176	-28.81277	-5.29185	6.59986	-0.91906	-1.34720	-24.71299	21.61641	-8.77615	55.61882	-46.08979	-41.90265	-5.57618	11.85801	0.29121	0.33539	-0.10253	-0.06533	
