	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunhyeong_008.c3d
46	46.00000	0.18000	71.53452	88.01807	13.84779	-18.87013	26.26493	14.71824	22.62047	-54.80036	-4.40631	-6.32884	-22.32179	-1.21548	-0.19509	8.13471	46.42205	5.85928	-4.47468	-90.75005	19.37336	52.47400	-53.60983	0.38315	0.32959	-0.03824	-0.26494	
47	47.00000	0.18400	71.50118	88.04663	14.04182	-18.37608	25.79025	14.73320	22.19590	-54.66473	-4.22794	-6.51079	-22.33932	-1.17931	-0.05247	-13.35351	14.86721	18.25279	12.84583	-64.94066	52.01993	32.31263	-28.15327	0.38322	0.32924	-0.08195	-0.27888	
48	48.00000	0.18800	71.68391	88.12112	13.88343	-18.04080	25.71262	14.93724	21.94827	-54.58701	-4.12575	-6.57995	-22.34111	-1.19504	0.02222	-26.24342	-14.37779	17.18223	50.45301	-46.04734	82.17008	3.80695	-5.30663	0.38304	0.32875	-0.10811	-0.27189	
49	49.00000	0.19200	71.63936	88.45094	14.35751	-17.84965	25.12085	15.25235	22.05629	-54.48886	-4.12775	-6.60121	-22.31957	-1.24578	0.03451	-33.84449	-31.15656	29.76764	115.21043	38.07596	123.88564	-16.87983	-0.02815	0.38278	0.32834	-0.16294	-0.20429	
50	50.00000	0.19600	71.92579	89.03806	14.52466	-18.36566	25.40663	15.71839	22.48421	-54.31981	-4.19619	-6.64130	-22.27103	-1.30666	0.04400	-38.55459	-28.83772	-9.68766	161.38857	83.38813	144.78745	-22.88524	-1.49449	0.38258	0.32824	-0.20067	-0.23983	
51	51.00000	0.20000	71.55827	89.74167	16.38894	-18.56502	23.86345	16.19031	23.05515	-54.19709	-4.30190	-6.66691	-22.19898	-1.36213	0.12015	-34.49478	-6.08588	-99.93404	138.73283	48.67364	111.63988	-23.82315	6.95403	0.38251	0.32843	-0.17308	-0.31984	
52	52.00000	0.20400	71.12794	90.15237	17.62752	-18.86958	22.85371	16.65087	23.42272	-54.28421	-4.42665	-6.61316	-22.11705	-1.39787	0.28043	-17.40391	24.60588	-101.96159	60.01970	75.46243	28.40321	-29.23757	16.00601	0.38247	0.32875	-0.09907	-0.22418	
53	53.00000	0.20800	70.75882	90.22263	18.21497	-19.19202	22.73821	16.73680	23.34895	-54.47154	-4.55752	-6.53501	-22.04464	-1.40367	0.46330	8.65593	45.67341	-79.86473	-13.67395	41.46333	-23.36419	-36.63163	2.94608	0.38248	0.32904	-0.06750	-0.21700	
54	54.00000	0.21200	70.49067	90.04446	18.57636	-19.08693	22.28920	17.12732	23.04824	-54.90913	-4.67119	-6.55901	-22.00541	-1.37986	0.58291	32.88213	49.45313	-35.30844	-74.21246	-15.57714	-27.10449	-36.57489	-32.72367	0.38258	0.32931	-0.09077	-0.27809	
55	55.00000	0.21600	70.47399	89.62639	18.73770	-19.09031	22.11977	16.91279	22.48414	-54.84870	-4.75749	-6.73923	-22.00799	-1.33511	0.60592	42.98856	40.23407	15.20924	-131.46669	6.49218	-24.35675	-32.16775	-66.19347	0.38271	0.32954	-0.13448	-0.25676	
