	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Ujeong_005.c3d
40	40.00000	0.15600	103.05106	94.96655	-11.46864	-19.79828	43.46824	17.92193	15.51274	-49.86668	-13.89105	-9.99381	8.90664	2.56103	-1.74140	-24.69405	-12.43983	-10.09523	-45.71888	23.79843	-12.14725	57.49608	22.75935	0.44218	0.45022	0.13912	-0.12870	
41	41.00000	0.16000	103.21245	94.73492	-11.00926	-19.94438	43.19124	15.74242	15.36486	-47.81552	-13.63526	-9.98079	8.76677	2.55268	-1.98579	-14.44679	18.95504	53.66721	-64.70307	-40.93786	-56.50016	41.78167	9.78887	0.44245	0.45033	0.19935	-0.05265	
42	42.00000	0.16400	103.48234	94.44102	-10.69959	-19.98029	42.41767	12.82440	15.24259	-45.40456	-13.62815	-9.91663	8.57842	2.35692	-1.45522	-40.75458	24.52965	99.05730	-39.98814	-60.44426	-56.67599	28.79864	23.79708	0.44269	0.45067	0.19620	0.12711	
43	43.00000	0.16800	104.01251	94.41493	-11.50084	-20.09537	43.16906	12.89652	15.28157	-45.52273	-13.45570	-9.79269	8.85422	2.43171	-1.46119	-63.69568	-51.72781	115.11563	15.73043	16.97381	31.17449	-34.07097	-5.22961	0.44257	0.45113	0.13785	0.28946	
44	44.00000	0.17200	104.40407	94.57584	-12.14197	-19.96825	43.90781	14.15430	15.26021	-46.43826	-13.91901	-9.97181	9.04276	2.59492	-1.38420	-83.42986	-45.10426	16.75621	45.25714	32.74084	53.69351	-66.04898	-6.84676	0.44244	0.45160	0.07839	0.32181	
45	45.00000	0.17600	104.13584	94.76845	-9.74538	-19.72029	41.77778	13.14996	15.45570	-45.33792	-13.96889	-9.85868	8.83259	2.64970	-1.15461	-25.57676	-32.16758	-52.12191	73.48983	54.69044	70.49854	7.34974	14.38132	0.44262	0.45203	0.04696	0.19776	
46	46.00000	0.18000	103.98710	95.18971	-8.44060	-19.56192	40.86259	14.36041	15.41823	-46.07228	-13.81306	-9.86239	8.73483	2.73592	-1.41651	5.35743	-37.20647	-20.90856	93.77941	63.89381	99.95936	45.47308	3.64581	0.44276	0.45215	0.03845	0.06316	
47	47.00000	0.18400	103.96456	95.51846	-8.17060	-19.42554	40.80527	15.70110	15.44739	-46.99689	-13.54338	-9.83547	8.77923	2.73679	-1.49660	9.96978	-6.03658	22.51450	55.92538	4.60221	53.99155	112.83297	37.85048	0.44309	0.45245	0.08500	0.03383	
48	48.00000	0.18800	104.16116	95.63248	-8.53023	-19.48043	40.98400	15.80727	15.43193	-47.03492	-12.85864	-9.54955	8.87959	2.69856	-1.55441	8.30632	12.87318	51.07095	20.56388	-81.58971	15.85306	52.15029	-21.13070	0.44350	0.45261	0.11230	0.12830	
49	49.00000	0.19200	104.35387	95.68093	-8.48533	-19.33462	40.44938	14.91126	15.45469	-46.10854	-13.12628	-10.00189	8.72780	2.69519	-1.46005	2.47926	-25.11784	37.63150	-30.41586	-98.55287	43.16398	-25.90572	-55.90353	0.44291	0.45259	0.11475	0.25154	
50	50.00000	0.19600	104.45660	95.38778	-9.04781	-19.10330	40.68442	14.36037	15.20665	-45.29465	-13.09428	-9.99916	8.67724	2.81521	-1.76920	10.96901	2.31617	5.25447	-28.57568	-81.05200	-3.44485	27.75323	10.89028	0.44304	0.45248	0.15076	0.31286	
51	51.00000	0.20000	104.40498	95.45563	-9.75907	-18.93375	41.00258	15.04700	15.18182	-46.26711	-12.92986	-9.90452	9.10059	2.83099	-1.56123	-13.52530	13.07357	-97.64571	-16.94109	-26.47664	-8.35417	-4.62387	12.62341	0.44327	0.45241	0.16050	0.27258	
52	52.00000	0.20400	103.68502	95.25278	-6.02962	-18.75258	37.61468	12.37936	14.88519	-43.44814	-13.15458	-9.89303	8.73551	2.88289	-1.57076	-24.00679	-15.49598	-136.82452	-28.39785	51.02631	16.33264	-26.93535	8.97568	0.44351	0.45222	0.13394	0.07610	
53	53.00000	0.20800	103.31091	95.23023	-5.50742	-18.77094	37.38649	11.64012	14.86780	-42.84479	-13.16955	-9.83478	8.93535	2.92890	-1.49146	-12.97942	14.52348	-66.06531	-5.13081	32.05495	-37.80036	13.60325	13.39730	0.44364	0.45225	0.04970	-0.13088	
54	54.00000	0.21200	103.15041	95.21092	-5.44300	-18.75344	37.31564	9.67210	14.85606	-41.13353	-13.08195	-9.80060	8.80010	2.96006	-1.35925	-29.39073	-4.23560	-9.84617	40.09124	-15.24651	-27.74998	15.38355	-1.96688	0.44373	0.45227	-0.06218	-0.08174	
55	55.00000	0.21600	103.22073	95.54821	-4.17665	-18.86953	36.00436	8.99268	14.90507	-40.50797	-13.08000	-9.87024	8.58006	2.97739	-1.27066	-44.38971	-36.60438	16.40225	40.13586	-38.27351	-1.03704	15.90085	-11.10147	0.44352	0.45253	-0.11055	0.07874	
56	56.00000	0.22000	103.27280	95.53680	-4.80481	-18.80918	36.40565	9.34482	14.81645	-40.82550	-12.97223	-9.90339	8.60592	3.13400	-1.28376	-52.01704	-6.91502	7.22008	27.72326	-92.53961	-15.04767	29.19119	-1.51588	0.44315	0.45275	-0.06396	0.26317	
57	57.00000	0.22400	103.27938	95.76915	-3.12532	-18.66526	34.26720	8.24504	15.03959	-39.90585	-12.83454	-9.88746	8.38611	3.07742	-0.89098	-27.94537	-3.53312	1.30280	31.80219	-56.47030	11.27604	44.42574	-18.20875	0.44293	0.45312	0.03117	0.28236	
