	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Yugeun_002.c3d
31	31.00000	0.12000	89.14298	79.62486	6.41788	-15.02942	31.57535	-23.18122	20.29027	-23.35841	-20.38605	-5.99733	4.15355	4.89200	-3.26598	-23.93148	16.18679	-59.37090	23.53041	-1.47330	-29.23427	-57.81939	-5.53569	0.34684	0.37660	0.01793	-0.01237	
32	32.00000	0.12400	88.80445	79.66817	6.58912	-14.94282	31.25831	-23.70755	20.22769	-23.10182	-20.70420	-6.11814	4.14769	5.01098	-3.05729	-7.06385	3.92079	-106.22337	4.59533	-11.25343	-27.10437	-46.31856	-36.20900	0.34647	0.37686	-0.07976	0.09777	
33	33.00000	0.12800	88.29116	79.66340	8.12324	-14.79482	29.83642	-23.75923	20.22652	-23.03323	-20.93721	-6.32511	4.09305	4.95392	-3.15790	11.10807	-15.31011	-68.56845	-35.54157	-5.62506	-38.40136	-29.99816	-45.10521	0.34606	0.37716	-0.11637	0.13833	
34	34.00000	0.13200	88.26462	79.38322	9.35424	-14.95241	28.54017	-24.76340	20.45147	-22.41874	-21.11659	-6.52031	3.95211	4.92979	-3.24266	-0.16343	4.82439	5.86176	-22.56038	-52.60418	-51.36394	-20.01295	-37.18913	0.34572	0.37740	-0.10964	0.08970	
35	35.00000	0.13600	88.34908	79.47960	9.84618	-14.98929	27.75045	-24.31069	20.50418	-22.92641	-21.24155	-6.65654	3.88981	4.81653	-3.09358	14.05612	-25.51940	56.79466	28.93851	-15.97445	-8.74231	-35.69035	-9.35714	0.34533	0.37746	-0.07108	-0.01797	
36	36.00000	0.14000	88.70877	79.62157	10.47771	-15.37376	27.32738	-24.60618	20.80240	-22.63659	-21.50942	-6.58706	3.68187	4.98175	-3.56365	-0.67780	-55.19221	118.76700	49.89773	36.63614	36.01706	-24.30823	26.72967	0.34576	0.37716	-0.02229	-0.10829	
37	37.00000	0.14400	89.29920	79.86867	9.48559	-15.53258	28.38995	-23.89613	20.66274	-23.02546	-21.45424	-6.43163	3.61847	5.07711	-3.53629	-55.42546	-13.29088	96.37241	48.27473	-13.33776	36.28303	3.78509	70.92242	0.34579	0.37686	0.00407	-0.13016	
38	38.00000	0.14800	89.47816	80.00786	8.46296	-15.43231	29.16244	-23.63304	20.69419	-23.25641	-21.42759	-6.00784	3.57649	5.03175	-3.22487	-15.57422	15.75143	68.87012	35.29334	-51.34513	-8.13292	-16.22562	35.62532	0.34629	0.37689	0.04786	-0.11814	
39	39.00000	0.15200	89.85147	80.15252	7.93641	-15.60615	29.47213	-24.42849	20.95307	-22.59299	-21.51093	-6.09723	3.33914	5.05530	-3.28617	12.71587	17.71091	55.84182	23.63324	-62.59264	-3.76415	-22.80045	-1.71734	0.34641	0.37657	0.13929	-0.05542	
40	40.00000	0.15600	89.92434	80.19586	7.89004	-15.57570	29.21360	-25.47705	21.13340	-21.56470	-21.56849	-5.95554	3.05000	5.08752	-3.16916	-3.09544	10.03560	31.55266	-39.73813	-68.16108	23.52602	-23.71167	14.87817	0.34669	0.37661	0.19480	0.08673	
