	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Jungeon_004.c3d
28	28.00000	0.10800	91.65955	110.30317	32.34720	-21.94509	9.25435	9.75644	22.49273	-47.31710	0.40279	-50.89083	-16.16860	-1.62602	2.80020	-4.47728	1.59562	55.98396	14.71482	-33.29401	48.09539	-33.32290	-70.75756	0.46307	0.33920	-0.33925	0.09006	
29	29.00000	0.11200	91.74263	110.16747	32.85520	-22.18085	8.73392	9.29533	22.02179	-46.76442	0.32826	-51.22185	-16.24689	-1.53290	2.87491	18.91947	7.56057	35.97173	-55.56887	14.62089	57.40385	8.06900	-83.68109	0.46411	0.33925	-0.47994	0.06926	
30	30.00000	0.11600	91.94528	109.85477	33.52365	-22.53627	8.28156	8.86797	21.44747	-46.03476	0.43907	-51.59437	-16.39793	-1.52535	2.72719	-2.84947	-37.32875	38.97467	-56.21676	67.55978	85.21128	14.35157	-97.39712	0.46521	0.33924	-0.39171	-0.01557	
31	31.00000	0.12000	92.05403	109.72269	34.16283	-22.49776	8.06553	9.08563	21.22418	-45.88730	0.41960	-52.03435	-16.29292	-1.72591	2.62192	-22.73993	-56.04780	19.90604	27.08550	69.92000	84.43812	23.15804	-93.04892	0.46628	0.33910	-0.14145	-0.13768	
32	32.00000	0.12400	92.10165	110.07060	34.60880	-22.54856	7.83855	9.40662	21.04604	-45.86158	0.62899	-52.34380	-16.15534	-1.82239	2.45355	-23.04365	-33.36882	21.41293	122.15481	26.28018	84.16383	62.93527	-65.39500	0.46720	0.33894	-0.00675	-0.17546	
33	33.00000	0.12800	92.22324	110.69926	34.63062	-22.37759	7.84388	9.32534	21.04828	-45.43754	0.94864	-52.54540	-16.02058	-1.88120	2.51046	-49.42225	-27.48900	7.38611	119.84394	8.44055	93.66841	60.12137	-58.99924	0.46789	0.33892	-0.04096	-0.17303	
34	34.00000	0.13200	92.16013	111.02875	35.19881	-22.17389	7.35967	8.83264	20.88975	-44.57650	1.13753	-52.80441	-15.82168	-2.06585	2.60517	-26.94353	-50.69042	32.95542	83.98046	36.36487	142.81622	30.83903	-93.29939	0.46886	0.33895	-0.15696	-0.09515	
35	35.00000	0.13600	92.49019	111.36666	35.54661	-22.18658	7.28774	8.40801	20.62881	-43.43803	1.23712	-53.27502	-15.84551	-2.12477	2.34335	18.67920	24.79371	52.34657	65.01510	12.47720	86.14552	28.71287	-111.72384	0.47003	0.33916	-0.26820	0.02101	
36	36.00000	0.14000	92.58152	111.54421	35.67110	-22.51830	7.02299	8.88510	20.06559	-43.93973	1.41955	-53.70073	-15.77279	-1.95562	2.70553	19.50591	34.63882	70.62790	27.28070	16.65629	46.65517	45.86087	-89.51154	0.47137	0.33941	-0.24955	0.04664	
37	37.00000	0.14400	93.05488	111.59759	35.65644	-22.52881	7.31860	9.03739	19.93141	-43.65374	1.66883	-54.00873	-15.65657	-1.99848	2.47752	-2.34433	-20.59516	122.66843	52.45990	36.33702	65.38701	57.52426	-64.76036	0.47285	0.33964	-0.10798	0.00647	
