	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Juhyeong_006.c3d
28	28.00000	0.10800	60.29824	75.12392	26.88183	-14.06151	14.22415	-0.56686	11.61148	-33.17703	-0.35395	3.14854	-20.99163	-10.40979	4.84179	-15.35493	12.80881	110.74158	-180.19336	74.03801	-64.75909	7.67335	43.24573	0.36964	0.29408	0.70215	0.33886	
29	29.00000	0.11200	60.71384	74.14516	25.59629	-13.78268	15.51381	-1.50147	11.28669	-32.33348	-0.40762	3.36208	-20.87229	-10.60299	4.74881	-6.36549	-9.68414	40.70611	-236.87886	-42.71671	-45.20695	-19.62322	32.62273	0.36956	0.29356	0.50331	0.28549	
30	30.00000	0.11600	60.62527	73.22239	24.62775	-13.50571	16.06945	-3.80514	11.01997	-30.36062	-0.48250	3.40993	-20.77738	-10.49859	4.81234	8.22102	1.18352	-26.67599	-110.49978	-52.83520	-30.59429	-10.91915	5.30163	0.36950	0.29328	0.29279	0.32002	
31	31.00000	0.12000	60.50046	73.26285	25.23721	-13.55447	15.43994	-4.21708	11.27877	-29.91353	-0.51519	3.40034	-20.72938	-10.59742	4.70830	21.27773	-19.99077	-70.57903	72.37822	-33.01040	32.75510	24.92440	-10.66681	0.36934	0.29301	0.16177	0.40532	
32	32.00000	0.12400	60.06075	73.82288	23.38971	-12.99733	17.00970	-1.27381	11.39235	-32.58101	-0.34631	3.31420	-20.24179	-10.57147	4.53135	34.62288	7.94805	-67.63037	129.95976	-150.36095	90.07240	75.77108	-16.51125	0.36911	0.29299	-0.03866	0.45886	
33	33.00000	0.12800	59.96556	74.40186	20.80691	-12.51158	18.55444	0.82928	11.25565	-34.14081	0.00254	3.25091	-20.05922	-10.33599	4.56209	54.62414	36.17324	-72.06969	164.44884	-56.13094	106.42120	98.12779	-14.04416	0.36878	0.29311	-0.09169	0.42678	
34	34.00000	0.13200	59.45586	75.08387	22.88921	-12.89041	17.04866	0.89071	11.27920	-33.85217	0.35858	3.18413	-20.27783	-10.21075	4.45016	21.65012	-4.85187	-17.79300	61.53023	115.79950	98.46537	101.33679	8.87094	0.36834	0.29380	0.00519	0.35875	
35	35.00000	0.13600	59.82889	74.87119	22.66570	-13.14293	17.66552	0.53428	11.29096	-33.06398	0.78391	3.31635	-20.25197	-10.35237	4.35941	-21.72149	-17.27501	76.22575	-96.94170	75.22952	60.56141	70.66785	37.71741	0.36817	0.29319	0.12894	0.30690	
36	36.00000	0.14000	60.06565	74.28101	22.27324	-13.21854	18.25064	0.21280	11.21930	-32.70296	0.96394	3.49456	-20.15734	-10.51566	4.46098	-18.01291	-3.51832	17.79656	-155.50372	-24.80943	-9.93971	8.65348	41.80961	0.36770	0.29284	0.46017	0.35572	
37	37.00000	0.14400	59.96701	73.62708	21.60936	-12.84331	18.49539	0.40806	11.05790	-33.01997	0.95608	3.67120	-20.10942	-10.59971	4.47800	-4.16061	-2.01907	-19.17756	-101.05450	-126.01452	-59.81119	-36.33688	29.50123	0.36728	0.29225	0.80905	0.43182	
