	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Geunpil_007.c3d
28	28.00000	0.10800	86.93785	90.12730	1.20267	-16.85014	21.64017	-4.90205	19.14421	-22.27326	-23.40884	-3.42695	7.62315	5.72070	-4.74447	-37.85780	-3.22248	76.62985	43.43021	-39.23927	47.79861	-90.84913	-39.29090	0.38316	0.43164	0.20476	0.15841	
29	29.00000	0.11200	86.94111	90.36143	1.19934	-16.75811	21.78825	-4.45443	19.34604	-22.44867	-23.64333	-3.60796	7.65827	5.74042	-4.81716	-28.31286	-17.12644	79.55388	56.91446	-44.05834	31.88296	-69.00629	-27.54323	0.38331	0.43222	0.07400	0.23648	
30	30.00000	0.11600	87.57783	90.58106	1.89228	-16.76208	20.62773	-5.86542	19.71504	-21.10899	-23.71555	-3.61267	7.17188	5.79045	-4.63843	-6.52311	-2.81935	131.33403	65.29255	-99.80830	28.58729	-36.27449	-16.95183	0.38372	0.43279	-0.04791	0.14022	
31	31.00000	0.12000	88.01131	90.88802	-0.56405	-16.37099	22.67872	-3.62098	19.43303	-23.00467	-23.78377	-3.72735	7.39004	5.99420	-4.78326	22.12230	-39.34137	62.40775	10.23410	-44.89983	21.16511	6.93162	17.46276	0.38397	0.43290	-0.20447	-0.07010	
32	32.00000	0.12400	88.07127	90.63112	0.35050	-16.39977	21.74684	-4.55331	19.56808	-22.17569	-23.62664	-3.48391	7.09750	6.08795	-5.13741	32.42267	-7.65578	29.01189	-51.89619	-58.23906	-30.18810	44.19193	43.18793	0.38437	0.43276	-0.21228	-0.16280	
33	33.00000	0.12800	88.24351	90.49108	-0.42526	-16.30812	22.07980	-4.80748	19.26686	-22.12813	-23.49261	-3.39523	7.04576	6.20560	-5.10183	11.26326	21.13857	41.58788	-54.31947	-52.54193	-81.42095	51.37804	29.69286	0.38448	0.43260	-0.05635	-0.14144	
34	34.00000	0.13200	88.39510	90.17998	-0.98750	-16.25487	22.61169	-5.89505	19.48909	-21.56156	-23.32942	-3.23277	7.08327	5.96696	-5.06510	-21.37086	-12.91990	-9.38644	-95.29261	62.10139	-104.86544	18.97092	4.27064	0.38474	0.43278	0.18409	-0.06364	
35	35.00000	0.13600	88.16295	89.72884	-1.34631	-16.22919	23.46044	-6.72695	19.72992	-21.15787	-23.43512	-3.32578	7.38303	5.84355	-5.04920	-51.90049	-22.71022	-99.48316	-87.38750	127.86642	-78.21292	-51.09034	-32.55878	0.38471	0.43318	0.37296	0.07332	
36	36.00000	0.14000	87.60204	89.47181	-0.20753	-16.32011	22.88634	-7.95298	19.74416	-20.24863	-23.75834	-3.47034	7.53181	5.94213	-4.84525	-61.12229	-7.53732	-110.63056	-30.86007	112.41650	-15.54753	-104.34847	-43.79654	0.38443	0.43361	0.34123	0.15334	
37	37.00000	0.14400	87.27765	89.47277	3.23787	-16.63210	19.95905	-9.55233	19.73911	-18.62497	-24.18909	-3.68236	7.15277	5.87722	-4.61555	-64.28103	-29.34068	-113.89624	-20.02022	121.58829	30.01266	-114.62778	-31.76088	0.38418	0.43379	0.21042	0.10136	
38	38.00000	0.14800	86.68931	89.31399	5.59639	-17.12064	18.30113	-10.35689	19.74021	-17.74395	-24.49927	-3.74530	7.12900	6.04883	-4.56053	-49.32272	-6.17114	-66.46857	5.80526	82.70257	-22.55349	-53.89947	10.80971	0.38384	0.43379	0.07529	0.04556	
39	39.00000	0.15200	86.74444	89.51922	5.61376	-17.57709	18.34591	-9.60071	19.47036	-18.76090	-24.42681	-3.60204	7.34290	6.04527	-4.27945	-12.70448	10.76868	53.07970	8.04854	-13.49520	-74.23260	43.19876	37.26439	0.38378	0.43381	0.00530	0.04639	
40	40.00000	0.15600	87.12635	89.36512	4.79278	-17.57372	18.95721	-10.04795	19.44952	-18.62832	-24.07603	-3.43953	7.33214	6.06520	-4.37887	23.41477	-26.05347	92.48805	-53.66435	-39.88506	-79.97301	112.87630	25.88970	0.38378	0.43361	0.03253	0.07478	
41	41.00000	0.16000	87.48574	89.08459	3.78956	-17.47945	19.76573	-11.00667	19.59629	-18.07499	-23.62744	-3.40272	7.33904	6.13830	-4.67403	33.98965	-21.21321	96.07657	-58.70606	-60.59185	-76.83537	116.40670	-11.82585	0.38366	0.43322	0.08327	0.14031	
42	42.00000	0.16400	87.89761	88.90121	2.76215	-17.34260	20.40947	-11.55592	19.66870	-17.82217	-23.36105	-3.56549	7.34504	6.16812	-4.81993	17.14767	-22.99977	4.00825	-13.49412	-48.31021	-27.77103	68.78865	-33.13376	0.38347	0.43293	0.14838	0.12890	
43	43.00000	0.16800	87.52517	88.97543	4.38751	-17.27550	18.80730	-11.87109	20.09906	-17.48273	-23.26322	-3.71417	7.13349	6.08603	-4.98825	0.40364	-41.43507	-58.02562	14.85895	19.71272	66.17836	-0.65062	-30.76248	0.38352	0.43299	0.19850	-0.02709	
44	44.00000	0.17200	87.43460	88.98708	2.73275	-17.10386	20.59592	-9.34889	19.56362	-19.36681	-23.43869	-3.87182	7.60387	6.03873	-5.16230	-0.80661	16.45526	-16.82357	12.82386	-48.28653	56.00454	-58.01012	-25.18034	0.38359	0.43334	0.19663	-0.15788	
45	45.00000	0.17600	87.39070	89.10679	3.71897	-17.19910	19.05995	-10.59137	19.83032	-18.23889	-23.69947	-3.98243	7.31142	5.85224	-4.85285	14.89506	36.28180	1.05251	-69.84688	-63.71642	33.06522	-65.92677	-15.46546	0.38363	0.43387	0.12062	-0.26046	
46	46.00000	0.18000	87.43102	88.42776	4.37925	-17.42312	18.51312	-12.70335	19.54717	-15.94578	-23.91480	-4.04453	6.92662	5.81286	-4.96211	31.32425	25.21103	49.90821	-125.15653	-48.47340	10.42159	-46.47671	-5.21042	0.38361	0.43425	0.03641	-0.25184	
47	47.00000	0.18400	87.81223	88.10593	1.53736	-17.26549	20.75386	-12.29984	19.30803	-16.54572	-24.06956	-4.03260	7.33142	5.73648	-4.89739	33.21683	39.57074	109.31757	-84.34120	-112.16728	-35.43213	-25.91859	10.47855	0.38372	0.43429	-0.07217	-0.06191	
48	48.00000	0.18800	88.31252	87.75574	2.18345	-17.43355	19.71177	-14.66290	19.46037	-14.38037	-24.18378	-3.92766	6.79991	5.79257	-4.91045	16.39722	17.34145	123.12493	-22.48044	-95.83898	1.69544	-24.53741	9.93299	0.38395	0.43418	-0.15543	0.12536	
49	49.00000	0.19200	88.79253	87.92563	1.52602	-17.40598	19.99800	-14.25405	19.58785	-14.68750	-24.35107	-3.90416	6.72558	5.89672	-4.87931	0.62459	-1.55912	110.31573	85.82723	-74.71262	58.01090	-20.71946	-3.48650	0.38399	0.43400	-0.13354	0.28418	
50	50.00000	0.19600	89.18812	88.44615	-0.36564	-17.27806	21.54537	-11.42349	19.17306	-16.97155	-24.42346	-3.91506	7.16608	6.15768	-4.95277	-14.82638	-13.62711	77.73045	77.74719	-60.21040	73.26031	-3.19662	-21.41272	0.38401	0.43374	-0.02616	0.35958	
51	51.00000	0.20000	89.42199	88.54109	0.89151	-17.13413	20.12210	-12.56789	19.50422	-15.69138	-24.43571	-4.03922	6.89959	6.11483	-4.87902	-23.25782	-19.90544	-8.33836	29.60814	-10.98756	57.56901	11.99840	-41.93925	0.38363	0.43371	0.21621	0.32586	
52	52.00000	0.20400	89.12366	88.68616	0.41543	-16.89503	20.71070	-11.02064	19.23243	-16.89095	-24.37255	-4.20397	7.37487	6.21556	-4.92560	-14.05008	-19.30018	-38.45398	-13.03284	32.61266	49.33942	22.72149	-24.42862	0.38321	0.43372	0.42254	0.18029	
53	53.00000	0.20800	89.11373	88.43366	0.10540	-16.67341	21.13675	-11.22041	19.04920	-16.56681	-24.26578	-4.18117	7.48419	6.09551	-4.93133	-20.29918	-37.07320	-71.80528	-41.55984	63.42346	-0.48143	3.58870	6.44926	0.38302	0.43377	0.43737	0.06112	
54	54.00000	0.21200	88.54856	88.34740	3.11146	-16.87356	18.63694	-12.96185	19.55034	-15.05939	-24.28698	-4.12182	7.12799	6.23387	-5.04320	-28.30692	-56.14073	-87.40852	-7.32737	88.43084	-40.62541	-29.68639	40.97678	0.38291	0.43373	0.26191	0.03257	
55	55.00000	0.21600	88.42017	88.37556	2.88346	-16.77394	19.18505	-12.11297	19.34543	-16.04948	-24.33863	-3.86764	7.31470	6.34359	-5.14527	-25.85318	-48.51707	-42.78557	26.28605	66.45626	-46.64315	-49.66133	61.75136	0.38290	0.43375	-0.00332	0.03935	
56	56.00000	0.22000	88.20658	88.55769	4.30993	-16.73408	18.02054	-11.93945	19.58456	-16.39644	-24.44611	-3.67622	7.12074	6.28298	-5.22682	-14.69738	-29.94226	-38.82642	46.29571	36.68737	-36.04681	-40.67573	46.92780	0.38302	0.43376	-0.16451	0.11143	
57	57.00000	0.22400	88.11090	88.74163	4.54727	-16.71639	17.88532	-11.14122	19.61835	-17.25343	-24.49051	-3.54884	7.14504	6.24117	-5.27328	6.11065	22.32035	16.75036	20.36531	-34.53117	-27.31808	2.76223	25.71581	0.38326	0.43380	-0.18352	0.23355	
