	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d	C:\Users\kookmin\Desktop\lotte_export_c3d_all\Chaeyun_008.c3d
29	29.00000	0.11200	78.71655	68.20296	-4.94427	-18.61135	42.13778	-20.09145	17.11345	-29.63917	1.24766	0.43336	8.12910	-7.47536	-4.39807	-13.73578	-12.51992	-45.03467	4.65784	-97.93443	-119.89789	21.58419	12.74658	0.42649	0.39768	-0.11568	0.23495	
30	30.00000	0.11600	78.48471	68.09928	-4.56967	-18.34508	41.45979	-20.78317	17.29921	-29.48803	1.29326	0.44649	8.14391	-7.49554	-4.38774	-15.38519	-8.76317	-98.29602	-1.54089	-75.07352	-66.46436	4.71673	-5.87891	0.42636	0.39755	-0.02318	0.27211	
31	31.00000	0.12000	77.92950	68.18247	-3.71251	-17.76432	40.36673	-20.44365	17.40230	-29.83392	1.26529	0.38450	8.18085	-7.53150	-4.34629	-21.77336	-10.55105	-106.18945	22.79161	-6.35005	-2.35574	-13.57977	-23.74143	0.42624	0.39733	0.07722	0.13678	
32	32.00000	0.12400	77.64392	68.28189	-2.92766	-17.72987	39.84519	-20.13893	17.53178	-30.12173	1.16890	0.25218	8.25605	-7.57866	-4.30380	-35.19514	-14.42921	-47.95592	26.47863	20.66211	20.41180	-20.21810	-42.75954	0.42614	0.39718	0.19785	0.02406	
33	33.00000	0.12800	77.53856	68.39737	-2.89100	-17.54166	39.74997	-19.75715	17.63851	-30.32527	1.10349	0.03051	8.35671	-7.61088	-4.19649	-29.58645	-19.64417	-8.82852	-15.41351	-28.46583	53.39829	-20.53832	-28.88926	0.42651	0.39665	0.29347	0.00980	
34	34.00000	0.13200	77.57256	68.16006	-3.28873	-17.30669	39.96225	-19.97798	17.55537	-29.84799	1.00451	0.00846	8.44814	-7.58377	-4.22901	-19.48966	-28.04248	34.07860	-19.15840	-33.34526	47.28133	-13.55962	-8.76859	0.42561	0.39714	0.25261	-0.02567	
35	35.00000	0.13600	77.81102	68.24484	-3.35493	-17.23820	39.92593	-19.61262	17.58037	-30.08494	0.99528	-0.04145	8.50620	-7.48326	-4.25778	-23.76333	-36.48149	105.93928	11.39997	-64.22340	45.10768	0.80904	-8.25352	0.42530	0.39698	0.10325	0.02579	
36	36.00000	0.14000	78.42926	68.25048	-4.59845	-16.96519	40.70045	-18.97257	17.46692	-30.44569	1.01100	-0.05514	8.53537	-7.36000	-4.33319	-19.25083	-36.51447	122.68823	-13.23847	-11.96819	18.38748	6.20156	-6.63837	0.42506	0.39671	-0.02521	0.00596	
37	37.00000	0.14400	78.78115	68.14396	-4.34316	-17.20361	40.77538	-19.15282	17.54462	-30.37632	1.04496	-0.08840	8.54709	-7.27235	-4.39906	-22.94676	-23.04606	31.32124	-22.26225	73.25256	-30.68192	4.54489	-16.84033	0.42490	0.39634	-0.12391	-0.04395	
38	38.00000	0.14800	78.68057	68.07430	-3.66977	-17.18852	40.39952	-19.23784	17.43703	-30.43825	1.04754	-0.18169	8.54280	-7.23844	-4.33822	-15.41136	-3.91517	-68.47797	-17.92032	26.63956	-13.08374	2.90424	-31.42821	0.42472	0.39600	-0.15378	0.02286	
